userName,content,score,at,appVersion,content_clean
samsudin nue,montoon update patch terbaru sekarang kk sering stuck di loading match making jadi sering afk sampe 1 menit bisa di skottth kan kah moonton untuk itu,1,2025-10-08 14:24:20,2.1.18.11201,montoon update patch terbaru sekarang kk sering stuck di loading match making jadi sering afk sampe 1 menit bisa di skottth kan kah moonton untuk itu
Ela Nurlaela,saat saya mau bertanding malah stuck lama malah keluar dari pertandingan aku udah ngelakuin apapun masih aja ga bisa ini gimana,1,2025-10-08 14:23:47,2.1.18.11201,saat saya mau bertanding malah stuck lama malah keluar dari pertandingan aku udah ngelakuin apapun masih aja ga bisa ini gimana
Nasrun Wahyudi,knp akun saya kena bug padahal saya tidak pake verifikasi 2 langkah tapi pas saya login malah kena verifikasi 2 langkah ??tolong di jawab moonton,2,2025-10-08 14:23:35,2.1.18.11201,knp akun saya kena bug padahal saya tidak pake verifikasi 2 langkah tapi pas saya login malah kena verifikasi 2 langkah ??tolong di jawab moonton
Iyan Rasya,mending gausah di download udah banyak draks sistem dan bag ini tu gem Ter parah yang pernah gua alamin mending ff PUBG bloods trek Ama ghenshin😡😡🤬🤬🤬🤬🤬😾😾😾👎👎👎👎👎👎👎👎👎👎gimana mau ke mythic orang gua aja di buat ngesetak di legend kalau gua ketemu muntum gua bakal dia kembali dengan lukas!😈😈😈😈😈🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮😡😠🤬🤬🤬🤬🤬🤬🤬👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1,2025-10-08 14:22:49,2.1.18.11201,mending gausah di download udah banyak draks sistem dan bag ini tu gem ter parah yang pernah gua alamin mending ff pubg bloods trek ama ghenshin😡😡🤬🤬🤬🤬🤬😾😾😾👎👎👎👎👎👎👎👎👎👎gimana mau ke mythic orang gua aja di buat ngesetak di legend kalau gua ketemu muntum gua bakal dia kembali dengan lukas!😈😈😈😈😈🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮😡😠🤬🤬🤬🤬🤬🤬🤬👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎
Pirman Alpiansyah,bagus dalam segi permain dan Hero skin nya juga keren keren tapi kenapa yang mainnya kaya gimana gitu rank nya pada tinggi tinggi jadi main kaya bocil tapi rank udah mityik jadi susah mau naik honornya,3,2025-10-08 14:22:05,1.9.99.10932,bagus dalam segi permain dan hero skin nya juga keren keren tapi kenapa yang mainnya kaya gimana gitu rank nya pada tinggi tinggi jadi main kaya bocil tapi rank udah mityik jadi susah mau naik honornya
Ridho Zaki,"sumpah ini game buat gua marah terus!!!!!setelah memang 1× pasti kalah lagi 1×,ini maksudnya gimana ya?apa sengaja biar gua kalah terus,stuck,aku pengen ngerasain di mytic,sampe aku ngeluarin kata kata mutiara terus, Plissss tolong kerjasamanya",1,2025-10-08 14:21:40,,"sumpah ini game buat gua marah terus!!!!!setelah memang 1× pasti kalah lagi 1×,ini maksudnya gimana ya?apa sengaja biar gua kalah terus,stuck,aku pengen ngerasain di mytic,sampe aku ngeluarin kata kata mutiara terus, plissss tolong kerjasamanya"
Muh. Erwin,"Banyak update baru yang membuat game ini makin seru tapi ada bug yang membuat pengalaman bermain sangat buruk. Jaringan lancar dan bagus tapi saat di gunakan untuk bermain ML di dalam game nge lag mulu, kalau sudah mati tiba "" jaringan lancar kembali, perasaan dari dulu game ini ga pernah fix tentang masalah itu, apakah pihak MOONTON sengaja? padahal sudah dari dulu banyak orang yang mempermasalahkan masalah ini tapi sepertinya ga pernah di tanggapi oleh pihak MOONTON.",3,2025-10-08 14:20:49,2.1.18.11201,"banyak update baru yang membuat game ini makin seru tapi ada bug yang membuat pengalaman bermain sangat buruk. jaringan lancar dan bagus tapi saat di gunakan untuk bermain ml di dalam game nge lag mulu, kalau sudah mati tiba "" jaringan lancar kembali, perasaan dari dulu game ini ga pernah fix tentang masalah itu, apakah pihak moonton sengaja? padahal sudah dari dulu banyak orang yang mempermasalahkan masalah ini tapi sepertinya ga pernah di tanggapi oleh pihak moonton."
Edi Mulyono,"game macem tolol,masak sinyal hilang sendiri padahal full sinyalnya,klo ga dimatiin datanya ga bisa gerak",1,2025-10-08 14:20:41,2.1.18.11201,"game macem tolol,masak sinyal hilang sendiri padahal full sinyalnya,klo ga dimatiin datanya ga bisa gerak"
Dika Bae,game burik kontol babai,1,2025-10-08 14:19:32,2.1.18.11201,game burik kontol babai
Wudka Projects,"lumayan, dikenalin emry",5,2025-10-08 14:18:30,,"lumayan, dikenalin emry"
Mumy Ke2,"game bodoh, udh top up banyak² cuma di kasih kalah terus, kerennn",1,2025-10-08 14:17:46,,"game bodoh, udh top up banyak² cuma di kasih kalah terus, kerennn"
Naila Aspi,game buruk pas update yng sekarang jadi buruk pas aku main offline juga gak bisa dan pass udah masuk ke game nya nah aku kan main terus aku pilih hero eh pas mulai ada tulisan gitu aku gak tau apa tapi pass aku pencet ok jadi mulai sendiri terus ngelag keluar sendiri lagi bisa di perbaiki pliss dan maaf aku rate cuma dua bintang ⭐⭐ perbaiki ya makasih maaf terlalu panjang,2,2025-10-08 14:17:43,,game buruk pas update yng sekarang jadi buruk pas aku main offline juga gak bisa dan pass udah masuk ke game nya nah aku kan main terus aku pilih hero eh pas mulai ada tulisan gitu aku gak tau apa tapi pass aku pencet ok jadi mulai sendiri terus ngelag keluar sendiri lagi bisa di perbaiki pliss dan maaf aku rate cuma dua bintang ⭐⭐ perbaiki ya makasih maaf terlalu panjang
hilman dewa,nggak ada otak,1,2025-10-08 14:17:39,2.1.18.11201,nggak ada otak
rangga jaya,"moonton gblk ngasih team gaperna benerr,kasih gua mm anjg",3,2025-10-08 14:17:32,2.1.18.11201,"moonton gblk ngasih team gaperna benerr,kasih gua mm anjg"
Agha Ramdani,untuk gamenya lumayan tapi kalau kita bisa ngendali Hero pasti seru dengan lawan (main computer maksud nya)dapat skin gratis la untuk sekali tapi rendom,5,2025-10-08 14:16:41,2.1.18.11201,untuk gamenya lumayan tapi kalau kita bisa ngendali hero pasti seru dengan lawan (main computer maksud nya)dapat skin gratis la untuk sekali tapi rendom
Een Zurenie,game buruk banyak cheater...game tambah kesini tambah jelek...game kurang bagus...sengaja gak gue kasih bintang otw uninstal.,1,2025-10-08 14:16:36,2.1.18.11201,game buruk banyak cheater...game tambah kesini tambah jelek...game kurang bagus...sengaja gak gue kasih bintang otw uninstal.
Sultan bara,"match makingg ga adil massa gw honor ketemunya team nya sama legenda? dmna letak ke adilan nya, dri dlu smpee skrngg masih aja kya gth sistem nya aneh",1,2025-10-08 14:15:19,2.1.18.11201,"match makingg ga adil massa gw honor ketemunya team nya sama legenda? dmna letak ke adilan nya, dri dlu smpee skrngg masih aja kya gth sistem nya aneh"
Nilam Ayuwiduri,mengibur,5,2025-10-08 14:14:20,,mengibur
Kampung Sampa,perbaikin lagi game terlalu delay+lag tiba tiba padalan jaringan bagus,1,2025-10-08 14:13:52,,perbaikin lagi game terlalu delay+lag tiba tiba padalan jaringan bagus
Fama Deni,"game bikin stresss ini bikin gua puyeng satu kali main ujung""nya losetreak trs",1,2025-10-08 14:13:18,,"game bikin stresss ini bikin gua puyeng satu kali main ujung""nya losetreak trs"
Putra Tra 112,di epik di kasih nya tim itu yang bener lahh ml ey di benerin lagi dongg ke susahan jadinya kalah terus kedepan nya lebih baik aku kasih bintang satu dulu,1,2025-10-08 14:11:45,2.1.18.11201,di epik di kasih nya tim itu yang bener lahh ml ey di benerin lagi dongg ke susahan jadinya kalah terus kedepan nya lebih baik aku kasih bintang satu dulu
Desy puspita dwi Darmawati,"baguss bgtt, walaupun ngeleg gatau knp, padahal wifi udah bagus, dan buat kalian yang win 1x tapi kalah 2x atau lebih setelah win itu gara gara orang yang ada di tim kalian BOT ya, aku ga gitu kok, thanksss",5,2025-10-08 14:11:38,,"baguss bgtt, walaupun ngeleg gatau knp, padahal wifi udah bagus, dan buat kalian yang win 1x tapi kalah 2x atau lebih setelah win itu gara gara orang yang ada di tim kalian bot ya, aku ga gitu kok, thanksss"
Dirga Bakti,mooontoon kontollllllllllllo mememeeeekkkk,1,2025-10-08 14:10:32,2.1.18.11201,mooontoon kontollllllllllllo mememeeeekkkk
Muhammad Adhar,game nya seru banget ☺,5,2025-10-08 14:10:28,2.1.18.11201,game nya seru banget ☺
Fatwa Fatwa,ubah solo rang,1,2025-10-08 14:10:23,,ubah solo rang
Diya ajha,suka banget seruuuuu,5,2025-10-08 14:09:44,2.1.18.11201,suka banget seruuuuu
Purwodadi Oke,makasih ya moonton telah teman nin aku 5+ tahun gua saatnya pergi untuk selamanya untuk game mu selamanya 😇🥰 i love you moonton bye2😊,5,2025-10-08 14:09:41,1.9.93.10904,makasih ya moonton telah teman nin aku 5+ tahun gua saatnya pergi untuk selamanya untuk game mu selamanya 😇🥰 i love you moonton bye2😊
Yuda,game nya seru,5,2025-10-08 14:09:26,2.1.18.11201,game nya seru
Faiz_ Setryy,gg coo ml keren kaliiiiiiiii mantap lebih keren ml dari pada ff awokawokawok 😹,5,2025-10-08 14:06:25,2.1.18.11201,gg coo ml keren kaliiiiiiiii mantap lebih keren ml dari pada ff awokawokawok 😹
Saha Weh,tolong dong kasih lawan yang setara kalo maen rank tuh,1,2025-10-08 14:06:14,,tolong dong kasih lawan yang setara kalo maen rank tuh
Ak z,game tolol,1,2025-10-08 14:04:53,2.1.18.11201,game tolol
Samsudin Udin,"benerin dulu tuh bug jaringan, jaringan hijau kok ngelag,",1,2025-10-08 14:04:50,2.1.18.11201,"benerin dulu tuh bug jaringan, jaringan hijau kok ngelag,"
fatih inara,maaf motoon inanilahi moonton mati gw mau pensi aj lah cpe naik trun naik trun bismilah montoon mti,1,2025-10-08 14:04:07,2.1.18.11201,maaf motoon inanilahi moonton mati gw mau pensi aj lah cpe naik trun naik trun bismilah montoon mti
Tukir Heriyanto,min gw main ml lgi,5,2025-10-08 14:03:17,,min gw main ml lgi
Annasji Annas,moonton tolol malah dpt musuh susah kasi ke sekali ws,1,2025-10-08 14:02:49,2.1.18.11201,moonton tolol malah dpt musuh susah kasi ke sekali ws
Rustandi Abdulloh,game apaan goblog pusing gua,1,2025-10-08 14:02:32,2.1.18.11201,game apaan goblog pusing gua
Sofian Tontro,sangat ramah player tidak sombong,5,2025-10-08 14:02:06,2.1.18.11201,sangat ramah player tidak sombong
Iin Alam,lostrek mulu,1,2025-10-08 14:01:23,2.1.18.11201,lostrek mulu
Armann 123,hadeh gem bayak drak sistem masak di rank legend ada epik gj jelas gua udah lus 14 kali😡😡😡😡,1,2025-10-08 13:58:39,2.1.18.11201,hadeh gem bayak drak sistem masak di rank legend ada epik gj jelas gua udah lus 14 kali😡😡😡😡
WILLY SUBAGJA,sang at bail game mi ini,3,2025-10-08 13:57:38,,sang at bail game mi ini
Wardatul Firdausiyah,kasih timgak tau amin,1,2025-10-08 13:57:37,,kasih timgak tau amin
Irfan 100,baguss,5,2025-10-08 13:56:51,2.1.18.11201,baguss
GHANI HAMIDI,mantap sakuramba,5,2025-10-08 13:55:11,,mantap sakuramba
Diyono 123,pilih kasih anjg,1,2025-10-08 13:52:56,2.1.18.11201,pilih kasih anjg
Siddiq Alfiyanto Adjie Wibowo,"padahal sinyal bagus dan hp juga standart buat game, tapi kenapa masih sering lag? akibatnya terhitung afk pada saat rank, merugikan. main game buat nyari senang, tapi malah dibuat stress sama moonton!!!",1,2025-10-08 13:51:14,2.1.18.11201,"padahal sinyal bagus dan hp juga standart buat game, tapi kenapa masih sering lag? akibatnya terhitung afk pada saat rank, merugikan. main game buat nyari senang, tapi malah dibuat stress sama moonton!!!"
Muhammad ardian,gw kalah Mulu gara gara moonton di kasih yang jago Bae musuh nya malah di gw drack system semua tim nya,1,2025-10-08 13:50:28,2.1.18.11201,gw kalah mulu gara gara moonton di kasih yang jago bae musuh nya malah di gw drack system semua tim nya
Naga Bonar,game ini tidak adil,1,2025-10-08 13:49:38,2.1.18.11201,game ini tidak adil
Sandy Joko,seru banget,4,2025-10-08 13:47:30,2.1.18.11201,seru banget
Angga Farrass,"game nya bagus,aku suka,buat kalian makanya jgn bot,udh kg bs main di download dongoo",5,2025-10-08 13:47:18,2.1.18.11201,"game nya bagus,aku suka,buat kalian makanya jgn bot,udh kg bs main di download dongoo"
Wija toyiby,"susah banget masuk nya, makin berat game nya",1,2025-10-08 13:47:09,2.1.18.11201,"susah banget masuk nya, makin berat game nya"
Violita Anggraeni,kalah menang sudah biasa tapi kalah tanpa progress itu menyebalkan baru kali ini season sekarang mengalami hal ini moonton your drak sistem in game,1,2025-10-08 13:46:47,2.1.18.11201,kalah menang sudah biasa tapi kalah tanpa progress itu menyebalkan baru kali ini season sekarang mengalami hal ini moonton your drak sistem in game
Nailah,saya sangat menyukai game ini,5,2025-10-08 13:46:05,,saya sangat menyukai game ini
Reti Nurbaeti,ML itu seru juga menyenangkan enak dimainin ya aku ingin mau main ML lagi setiap hari ML itu sangat seru banget aku ingin memainkannya setiap hari dengan teman-temanku ML sangat seru seru seru seru seru seru seru banget tidak ada yang lebih seru dari ML itu kita akan memainkan ML saya tuh pakai Hero Hero apa ya Sonia Hero sun aku pakai Hero sun ya guys jadi kita harus memainkan ML setiap hari tidak usah 🏫 ya teman-teman saya nggak ada yang lebih seru lagi main hujan-hujanan dimarahin Tuhan .,5,2025-10-08 13:45:26,2.1.18.11201,ml itu seru juga menyenangkan enak dimainin ya aku ingin mau main ml lagi setiap hari ml itu sangat seru banget aku ingin memainkannya setiap hari dengan teman-temanku ml sangat seru seru seru seru seru seru seru banget tidak ada yang lebih seru dari ml itu kita akan memainkan ml saya tuh pakai hero hero apa ya sonia hero sun aku pakai hero sun ya guys jadi kita harus memainkan ml setiap hari tidak usah 🏫 ya teman-teman saya nggak ada yang lebih seru lagi main hujan-hujanan dimarahin tuhan .
ERWIN SATRIA,game kont0l,1,2025-10-08 13:44:53,2.1.18.11201,game kont0l
Ayaa,"game cuma fokus ke event tanpa ada pengoptimalan dan juga perubahan sistem, UI cacat yg beneran hanya fokus penjualan merchandise sama event kikir",1,2025-10-08 13:44:03,2.1.18.11201,"game cuma fokus ke event tanpa ada pengoptimalan dan juga perubahan sistem, ui cacat yg beneran hanya fokus penjualan merchandise sama event kikir"
Robby Orlando,apa lah stuck 30% mulu gw perbaiki lah orang2 jg sama kek nya loh,1,2025-10-08 13:42:44,2.1.18.11201,apa lah stuck 30% mulu gw perbaiki lah orang2 jg sama kek nya loh
Aldous butarbutar,gem ngga guna ngga pernah ngasih tim yg bangus,1,2025-10-08 13:42:19,2.1.18.11201,gem ngga guna ngga pernah ngasih tim yg bangus
Riski Anugrah,sinyal gua bagus malah ga bisa gerak ngentod lu niat buat game ga sih,1,2025-10-08 13:41:09,2.1.18.11201,sinyal gua bagus malah ga bisa gerak ngentod lu niat buat game ga sih
Teare Moana,game nya seru tapi banyak sekali dark sytem ketika saya 1 bintang lagi naik ke legen malah di kasih tim poke sama musuh nya top global-penjoki,5,2025-10-08 13:39:32,2.1.18.11201,game nya seru tapi banyak sekali dark sytem ketika saya 1 bintang lagi naik ke legen malah di kasih tim poke sama musuh nya top global-penjoki
Jundet Low,jembut,5,2025-10-08 13:37:40,2.1.18.11201,jembut
Awal Udin,MONTOON ANJINGGG,1,2025-10-08 13:37:35,2.1.18.11201,montoon anjinggg
Rizki Nugraha,"kebanyakan update sinyal server ga ke urus, padahal sinyal bagus tapi lag",1,2025-10-08 13:36:50,2.1.18.11201,"kebanyakan update sinyal server ga ke urus, padahal sinyal bagus tapi lag"
Atikaazahrarafifa Tika,baguss,5,2025-10-08 13:35:29,2.1.18.11201,baguss
Wk Wkwk,"game yang sangat bagus sekali walaupun sering ngelag+ketemu tim dark sistem di situlah saya belajar toxic dari game ini, makasih buat developer game ini, makanya kasih gua dm 5000000000000 yah sama"" hanya ini yang bisa saya sampaikan assalamu'alaikum warahmatullahi wabarakatuh 😇🙏😘",5,2025-10-08 13:35:24,2.1.18.11201,"game yang sangat bagus sekali walaupun sering ngelag+ketemu tim dark sistem di situlah saya belajar toxic dari game ini, makasih buat developer game ini, makanya kasih gua dm 5000000000000 yah sama"" hanya ini yang bisa saya sampaikan assalamu'alaikum warahmatullahi wabarakatuh 😇🙏😘"
Alqaidayostin,gamenya si seru tp knpa beberapa hari ini jaringannya parah bgt pdhl jaringan saya bagus tp giliran main ml langsung parah bgt pdhl sebelumnya gprnh saya bermasalah soal jaringan klo lg main ml,5,2025-10-08 13:35:20,,gamenya si seru tp knpa beberapa hari ini jaringannya parah bgt pdhl jaringan saya bagus tp giliran main ml langsung parah bgt pdhl sebelumnya gprnh saya bermasalah soal jaringan klo lg main ml
Akun Terakhir,Sangat tidak di rekomendasi untuk main solo ya 🗿ton kurangi dark sistem 🗿,1,2025-10-08 13:34:01,,sangat tidak di rekomendasi untuk main solo ya 🗿ton kurangi dark sistem 🗿
Pak Dowi,"pertama terimakasih telah menciptakan game epic ini 👍, dan aku memberi saran dan tolong ini di benahi lagi ya, saya minta tolong dengan sangat ini di benahi penyetaraan matching, ini sangat saya garis bawahi karena kalau main itu sungguh sangat tidak setara, apalagi kalau classic masak lagend dapetnya team masih pangkat warior kan nggak masuk akal sama sekali, itu aku mohon dengan sangat untuk di benahi lagi, ya kalau soal rank ya begitulah aku sudah maklum, tapi kalo classic ya itu berlebihan",5,2025-10-08 13:33:37,2.1.18.11201,"pertama terimakasih telah menciptakan game epic ini 👍, dan aku memberi saran dan tolong ini di benahi lagi ya, saya minta tolong dengan sangat ini di benahi penyetaraan matching, ini sangat saya garis bawahi karena kalau main itu sungguh sangat tidak setara, apalagi kalau classic masak lagend dapetnya team masih pangkat warior kan nggak masuk akal sama sekali, itu aku mohon dengan sangat untuk di benahi lagi, ya kalau soal rank ya begitulah aku sudah maklum, tapi kalo classic ya itu berlebihan"
Shirokuma,sistem matchmaking selalu gak adil dimana musuh terlalu jago dan tim saya masih pemula.,1,2025-10-08 13:33:16,1.9.99.10932,sistem matchmaking selalu gak adil dimana musuh terlalu jago dan tim saya masih pemula.
Mutasor Mas,ketemu tim bot Mulu,1,2025-10-08 13:33:10,1.9.99.10932,ketemu tim bot mulu
Nafila Nafsa,"minimal kalo ngasih musuh ama tim sendiri yang seimbang laa,apa inii tim sendiri main gabisaa tapi tim lawan di kasih yang jago gimana mau menang",1,2025-10-08 13:31:16,2.1.18.11201,"minimal kalo ngasih musuh ama tim sendiri yang seimbang laa,apa inii tim sendiri main gabisaa tapi tim lawan di kasih yang jago gimana mau menang"
Ratna Cute,gem inih bagus,5,2025-10-08 13:30:37,,gem inih bagus
Amar Rusli,bermain mobile legends sangat seruu,5,2025-10-08 13:29:09,2.1.18.11201,bermain mobile legends sangat seruu
Dewiaja,sangat baik,5,2025-10-08 13:28:41,2.1.18.11201,sangat baik
Muh Reyhan,game kotol lose lose Mulu semoga ceper mati lu nonton,1,2025-10-08 13:26:23,1.9.93.10904,game kotol lose lose mulu semoga ceper mati lu nonton
m_syihab,game tai,1,2025-10-08 13:25:34,2.1.18.11201,game tai
Angga Arga Dinata,Bantu lah sistemnya....,5,2025-10-08 13:25:27,1.7.94.8681,bantu lah sistemnya....
Fikri Firdaus,tolong di perbaiki system nya,1,2025-10-08 13:24:50,2.1.18.11201,tolong di perbaiki system nya
Kage,gamenya bagus Ampe rata-rata playernya SDM nya pada turun 😌,5,2025-10-08 13:24:48,,gamenya bagus ampe rata-rata playernya sdm nya pada turun 😌
bilal Alfarizki,wah gamenya keren banget ada ruang clasik brawel arkade dan tang jadi aku kasing bintang lima dan musuhnya botsemua padaha tang aku epik kenapa musuhnya bot,5,2025-10-08 13:24:42,2.1.18.11201,wah gamenya keren banget ada ruang clasik brawel arkade dan tang jadi aku kasing bintang lima dan musuhnya botsemua padaha tang aku epik kenapa musuhnya bot
Sulasto Lutfi,monton babi selalu kasih tim sampah,1,2025-10-08 13:23:00,2.1.18.11201,monton babi selalu kasih tim sampah
Tamprin Riyadi,hampir semuah player ml dark sistem kecewa saya,1,2025-10-08 13:22:24,,hampir semuah player ml dark sistem kecewa saya
Iyan Dwi,"jaringannya benerin dong , game rusak",1,2025-10-08 13:21:57,2.1.18.11201,"jaringannya benerin dong , game rusak"
Yandi Ramdani,kenapa sih moonton selalu kasih tim bot Mulu capek,1,2025-10-08 13:21:14,,kenapa sih moonton selalu kasih tim bot mulu capek
RIZKI MAUL,game bagong,1,2025-10-08 13:19:13,2.1.18.11201,game bagong
Nirwana Nirwana,drak sistem banyak,5,2025-10-08 13:17:30,,drak sistem banyak
Juli,kebanyakan darksistem. n sering leg,1,2025-10-08 13:17:08,2.1.18.11201,kebanyakan darksistem. n sering leg
Feni alvionita,"Ml skrng jaringannya suka lag, pdahl bukak apk yg lain lancar²aja!!",1,2025-10-08 13:16:59,2.1.18.11201,"ml skrng jaringannya suka lag, pdahl bukak apk yg lain lancar²aja!!"
Iqbal Iqromi,game nya bagus tapi setiap login semua dowlodtannya selalu hilang padahal hanya ditinggal sekolah SMP aja udah hilang mohon diperbaiki ya semoga di perhatikan segitu aja mohon kerja sama nya🙏,5,2025-10-08 13:16:17,2.1.18.11201,game nya bagus tapi setiap login semua dowlodtannya selalu hilang padahal hanya ditinggal sekolah smp aja udah hilang mohon diperbaiki ya semoga di perhatikan segitu aja mohon kerja sama nya🙏
Uum Umyanah,main nya seru GK ada iklann skin nya banyakk ada Lukas zilong dan lain lain,5,2025-10-08 13:16:11,2.1.18.11201,main nya seru gk ada iklann skin nya banyakk ada lukas zilong dan lain lain
Rizal Lipek,jaringan makin ancor.... sering laq sekrang...padahal jaringan hp gw bagus,2,2025-10-08 13:14:35,2.1.18.11201,jaringan makin ancor.... sering laq sekrang...padahal jaringan hp gw bagus
Ramli Joker,makin hari Makin buruk setiap main selalu Ngelag Gamenya mulai bikin jengkel,1,2025-10-08 13:12:30,1.7.44.8111,makin hari makin buruk setiap main selalu ngelag gamenya mulai bikin jengkel
Muhammad Fauzan Hafian,kenapa pas main padahal team atau musuh pake skin tapi pas gameplay malah gak keliatan pake skin gaje ml sekarang,1,2025-10-08 13:09:57,,kenapa pas main padahal team atau musuh pake skin tapi pas gameplay malah gak keliatan pake skin gaje ml sekarang
Bayu Pamungkas,game gak jelas sinyal 4G kok bisa2 nya ngeleg dalem game game ampas,1,2025-10-08 13:09:15,2.1.18.11201,game gak jelas sinyal 4g kok bisa2 nya ngeleg dalem game game ampas
Rizky Raditya,"game Kon**ol,Anjg nge lag parah c*k",5,2025-10-08 13:09:10,1.9.64.10601,"game kon**ol,anjg nge lag parah c*k"
Ade Irawan,game nya lumayan bagus tapi gak tipe aku banget jadi aku kasih rating 4 lebih enakan ini daripada honor of king dari segi gamplay bagus,4,2025-10-08 13:08:57,,game nya lumayan bagus tapi gak tipe aku banget jadi aku kasih rating 4 lebih enakan ini daripada honor of king dari segi gamplay bagus
Linda Inda,dikasih tim draksistem Mulu,1,2025-10-08 13:08:01,2.1.18.11201,dikasih tim draksistem mulu
Fakhri Muzaky,game gak jelas tim nya drak sistem semua gua mulu yang gendong,2,2025-10-08 13:07:47,2.1.18.11201,game gak jelas tim nya drak sistem semua gua mulu yang gendong
Moch Zainuddin Jp,sering ilang signal,1,2025-10-08 13:06:51,1.9.70.10634,sering ilang signal
Theo Valendro,woy monton lu kenapa sih makin hari makin ngeleg sinyal gua pdhal kouta gua byk sinyal gua hijau tapi kenapa sering lag? #skin perbanyak leg di biarin,1,2025-10-08 13:04:36,2.1.18.11201,woy monton lu kenapa sih makin hari makin ngeleg sinyal gua pdhal kouta gua byk sinyal gua hijau tapi kenapa sering lag? #skin perbanyak leg di biarin
Aiman,Game nya seru saya baru main dan game nya seru buat main sama temen cuma saya punya keluhan masa saya tadi sesudah main di chat yatim sama orang random. semoga player nya ramah semua 🙏,5,2025-10-08 13:02:22,2.1.18.11201,game nya seru saya baru main dan game nya seru buat main sama temen cuma saya punya keluhan masa saya tadi sesudah main di chat yatim sama orang random. semoga player nya ramah semua 🙏
anugrah febri,season sekarang ngaco..sering kali pas war auto ngelag pdhl sinyal wifi dan hp aman.alhasil jd sering kalah..match making jg kacau.sll dpt team troll mulu,2,2025-10-08 13:02:04,2.1.18.11201,season sekarang ngaco..sering kali pas war auto ngelag pdhl sinyal wifi dan hp aman.alhasil jd sering kalah..match making jg kacau.sll dpt team troll mulu
Yoga Pratama,"MACTHMAKING NYA BUSUK, GAK JELAS BANGET, YANG BEBAN DI REPORT GK BISA, SEDANGKAN YANG MAIN SUNGGUH SUNGGUH MALAH KENAK REPORT, ANEH, UDAH DI MTYHIC KE ATAS MASIH AJA ANEH, ORANG ORANG NYA ANEH, ATURAN GAME NYA ANEH , MENDING UNINSTAL AJA",1,2025-10-08 13:01:47,2.1.18.11201,"macthmaking nya busuk, gak jelas banget, yang beban di report gk bisa, sedangkan yang main sungguh sungguh malah kenak report, aneh, udah di mtyhic ke atas masih aja aneh, orang orang nya aneh, aturan game nya aneh , mending uninstal aja"
Riandi Rian,gem ini sangat bagus,5,2025-10-08 13:00:21,2.1.18.11201,gem ini sangat bagus
