stopwords_removed,1-gram
"['t', 'l', 'l', 'mending', 'legends']","['legends', 'mending']"
"['fiturnya', 'tolong', 'baik']","['baik', 'fiturnya', 'tolong']"
"['good', 'application']","['application', 'good']"
"['rusak', 'saranin', 'jangan']","['jangan', 'rusak', 'saranin']"
"['minimal', 'itel', 'p', 'problem', 'ngebug', 'random', 'force', 'close', 'melulu', 'tolong', 'baik']","['baik', 'close', 'force', 'itel', 'melulu', 'minimal', 'ngebug', 'problem', 'random', 'tolong']"
['seru'],['seru']
"['free', 'skin']","['free', 'skin']"
['seru'],['seru']
"['gila', 'mana', 'kena', 'penalti', 'makin', 'aneh']","['aneh', 'gila', 'kena', 'makin', 'mana', 'penalti']"
"['up', 'harga', 'roamer', 'hitung', 'adil', 'bahkan', 'dg', 'samasama', 'dg', 'statistik', 'jauh', 'atas', 'lain', 'roamer', 'tdk', 'dominan', 'mvp', 'its', 'not', 'fair', 'for', 'programmer', 'hitung', 'mu', 'kurang', 'akurat', 'kda', 'selisih', 'jauh', 'unggul', 'kuasa', 'unggul', 'damage', 'terimakasih', 'unggul', 'dominan', 'non', 'roamer', 'mvp']","['adil', 'akurat', 'atas', 'bahkan', 'damage', 'dg', 'dominan', 'fair', 'for', 'harga', 'hitung', 'its', 'jauh', 'kda', 'kuasa', 'kurang', 'lain', 'mu', 'mvp', 'non', 'not', 'programmer', 'roamer', 'samasama', 'selisih', 'statistik', 'tdk', 'terimakasih', 'unggul', 'up']"
"['tolong', 'matching', 'rusak', 'masa', 'ketemu', 'philipina', 'mesti', 'kalah']","['kalah', 'ketemu', 'masa', 'matching', 'mesti', 'philipina', 'rusak', 'tolong']"
"['baik', 'walau', 'lawan', 'susah']","['baik', 'lawan', 'susah', 'walau']"
['adil'],['adil']
"['akun', 'kena', 'hack']","['akun', 'hack', 'kena']"
['seru'],['seru']
"['kenapa', 'mental', 'keluar', 'sendiri', 'masuk', 'lama', 'masuk', 'afk', 'segaja']","['afk', 'keluar', 'kenapa', 'lama', 'masuk', 'mental', 'segaja', 'sendiri']"
"['cacat', 'lawan', 'bot', 'teman', 'bot', 'rusak', 'uninstal']","['bot', 'cacat', 'lawan', 'rusak', 'teman', 'uninstal']"
"['bagus', 'kurang', 'adil', 'bagi', 'akhir', 'kda', 'kurang', 'arti']","['adil', 'akhir', 'arti', 'bagi', 'bagus', 'kda', 'kurang']"
"['mirip', 'mobil']","['mirip', 'mobil']"
"['kasa', 'lancar', 'sengaya', 'keluar', 'lowding', 'lama', 'banget']","['banget', 'kasa', 'keluar', 'lama', 'lancar', 'lowding', 'sengaya']"
"['tetap', 'diamon', 'gelap', 'pusing', 'ah']","['ah', 'diamon', 'gelap', 'pusing', 'tetap']"
"['jarigan', 'stabil', 'banyak', 'bug', 'soryy', 'rerting', 'bintang', 'satu', 'iya']","['banyak', 'bintang', 'bug', 'iya', 'jarigan', 'rerting', 'satu', 'soryy', 'stabil']"
"['pernah', 'coba', 'bagus', 'nyoba']","['bagus', 'coba', 'nyoba', 'pernah']"
"['gg', 'seru', 'bagus', 'gratis']","['bagus', 'gg', 'gratis', 'seru']"
"['moga', 'ngecewain', 'jangan', 'mole']","['jangan', 'moga', 'mole', 'ngecewain']"
"['bagus', 'trash', 'makin', 'update', 'makin', 'jelek']","['bagus', 'jelek', 'makin', 'trash', 'update']"
"['semua', 'coba', 'cuma', 'jaringanya', 'pasti', 'arti', 'lag', 'wifi', 'lancar', 'sinyal', 'full', 'oke', 'lag', 'seakanakan', 'belum', 'server', 'global', 'sekian', 'terimakasih', 'hal', 'lain', 'puas', 'nyaman', 'paling', 'utama', 'mohon', 'kerja', 'rusak', 'sinyal', 'jika', 'tolong', 'periksa', 'otomatis', 'bagi', 'mungkin', 'mengunakan', 'plungin', 'dll']","['arti', 'bagi', 'belum', 'coba', 'cuma', 'dll', 'full', 'global', 'hal', 'jaringanya', 'jika', 'kerja', 'lag', 'lain', 'lancar', 'mengunakan', 'mohon', 'mungkin', 'nyaman', 'oke', 'otomatis', 'paling', 'pasti', 'periksa', 'plungin', 'puas', 'rusak', 'seakanakan', 'sekian', 'semua', 'server', 'sinyal', 'terimakasih', 'tolong', 'utama', 'wifi']"
"['lebih', 'keren']","['keren', 'lebih']"
"['jelas', 'sudah', 'dua', 'tetap', 'taik', 'buang', 'babi', 'baru', 'paket', 'gb', 'tadi', 'sore', 'satu', 'hbs', 'tinggal', 'paket', 'yutop', 'gilak', 'parah', 'makan']","['babi', 'baru', 'buang', 'dua', 'gb', 'gilak', 'hbs', 'jelas', 'makan', 'paket', 'parah', 'satu', 'sore', 'sudah', 'tadi', 'taik', 'tetap', 'tinggal', 'yutop']"
[],[]
"['season', 'sekarang', 'kenapa', 'lag', 'minimal', 'lain', 'aman', 'ingame', 'lag', 'males', 'banget', 'server', 'brazil', 'baru', 'lag', 'bukan', 'sendiri']","['aman', 'banget', 'baru', 'brazil', 'bukan', 'ingame', 'kenapa', 'lag', 'lain', 'males', 'minimal', 'season', 'sekarang', 'sendiri', 'server']"
['oke'],['oke']
"['animasi', 'kurah', 'hidup', 'bagus']","['animasi', 'bagus', 'hidup', 'kurah']"
"['sinyal', 'kenapa', 'jelek']","['jelek', 'kenapa', 'sinyal']"
"['bagus', 'seru']","['bagus', 'seru']"
['keren'],['keren']
"['update', 'belum', 'normal', 'normal', 'gede', 'banget', 'sekitar', 'gban']","['banget', 'belum', 'gban', 'gede', 'normal', 'sekitar', 'update']"
['jelek'],['jelek']
"['jadul', 'banget', 'buruk']","['banget', 'buruk', 'jadul']"
['baik'],['baik']
[],[]
"['android', 'baik']","['android', 'baik']"
"['tier', 'paling', 'niat']","['niat', 'paling', 'tier']"
"['my', 'little', 'soda', 'pop']","['little', 'my', 'pop', 'soda']"
['keren'],['keren']
"['anggita', 'nurhassanah']","['anggita', 'nurhassanah']"
"['lumayan', 'seru', 'cuma', 'ngerti', 'item', 'maka', 'bintang']","['bintang', 'cuma', 'item', 'lumayan', 'maka', 'ngerti', 'seru']"
"['baik', 'tier', 'atas', 'bnyak', 'gelap', 'systemnya', 'ketemu', 'asing', 'anehh', 'gameplaynya']","['anehh', 'asing', 'atas', 'baik', 'bnyak', 'gameplaynya', 'gelap', 'ketemu', 'systemnya', 'tier']"
"['candu', 'banget', 'satu', 'walaupun', 'colong', 'samsung', 'j', 'biarin', 'penting', 'kompatibel']","['banget', 'biarin', 'candu', 'colong', 'kompatibel', 'penting', 'samsung', 'satu', 'walaupun']"
['bagus'],['bagus']
"['report', 'makin', 'jelek', 'semenjak', 'gimmick', 'ai', 'ngetroll', 'nyuri', 'kena']","['ai', 'gimmick', 'jelek', 'kena', 'makin', 'ngetroll', 'nyuri', 'report', 'semenjak']"
"['timya', 'bloon']","['bloon', 'timya']"
['inimudah'],['inimudah']
"['apresiasi', 'banyak', 'skin', 'gratis', 'bukan', 'skin', 'basic', 'elif', 'bahkan', 'epic', 'njir', 'laa', 'mana', 'paling', 'beri', 'skin', 'basic', 'awok']","['apresiasi', 'awok', 'bahkan', 'banyak', 'basic', 'beri', 'bukan', 'elif', 'epic', 'gratis', 'laa', 'mana', 'njir', 'paling', 'skin']"
"['hallo', 'dev', 'edit', 'ulas', 'sedikit', 'keluh', 'agak', 'bingung', 'imbang', 'push', 'musuh', 'lebih', 'tinggi', 'tiernya', 'ketimbang', 'alhasil', 'defeat', 'ketimbang', 'win', 'moga', 'cari', 'imbang', 'tier', 'masing', 'sukses']","['agak', 'alhasil', 'bingung', 'cari', 'defeat', 'dev', 'edit', 'hallo', 'imbang', 'keluh', 'ketimbang', 'lebih', 'masing', 'moga', 'musuh', 'push', 'sedikit', 'sukses', 'tier', 'tiernya', 'tinggi', 'ulas', 'win']"
"['selalu', 'jelek', 'jarang', 'banget', 'bagus']","['bagus', 'banget', 'jarang', 'jelek', 'selalu']"
['niruin'],['niruin']
['good'],['good']
"['tolong', 'update', 'versi', 'lag', 'banget', 'semenjak', 'spriteling', 'tambah', 'lag']","['banget', 'lag', 'semenjak', 'spriteling', 'tambah', 'tolong', 'update', 'versi']"
"['bagus', 'jugaa', 'sukaa']","['bagus', 'jugaa', 'sukaa']"
"['berharihari', 'kalah', 'ngestack', 'sampah', 'mending', 'balik', 'adil']","['adil', 'balik', 'berharihari', 'kalah', 'mending', 'ngestack', 'sampah']"
"['tarik', 'luar', 'biasa']","['biasa', 'luar', 'tarik']"
"['bag', 'wifi', 'bagus', 'bagus', 'nyaman', 'tolong', 'rusak']","['bag', 'bagus', 'nyaman', 'rusak', 'tolong', 'wifi']"
"['seru', 'lag']","['lag', 'seru']"
"['bang', 'tepat', 'janji', 'mu', 'banyak', 'skin', 'gratis', 'cuma', 'kasi', 'skin', 'banyak', 'jarak', 'jauh', 'iklan', 'banyak', 'skin', 'gratis', 'bajingngan']","['bajingngan', 'bang', 'banyak', 'cuma', 'gratis', 'iklan', 'janji', 'jarak', 'jauh', 'kasi', 'mu', 'skin', 'tepat']"
['mantap'],['mantap']
"['feel', 'dalam', 'kurang', 'asa', 'sehingga', 'enjoyble', 'dalam']","['asa', 'dalam', 'enjoyble', 'feel', 'kurang', 'sehingga']"
"['kurang', 'bagus', 'baru', 'sudah', 'patah', 'patah', 'bagus', 'lo', 'bagus', 'lag', 'patah', 'patah', 'kocak']","['bagus', 'baru', 'kocak', 'kurang', 'lag', 'lo', 'patah', 'sudah']"
"['boot', 'menang', 'pernah', 'payah', 'imbang']","['boot', 'imbang', 'menang', 'payah', 'pernah']"
"['bagus', 'seru']","['bagus', 'seru']"
"['please', 'make', 'fairer']","['fairer', 'make', 'please']"
"['bagus', 'banget', 'mana', 'offline']","['bagus', 'banget', 'mana', 'offline']"
"['nilai', 'hukum', 'masuk', 'akal', 'force', 'close', 'signal', 'towing']","['akal', 'close', 'force', 'hukum', 'masuk', 'nilai', 'signal', 'towing']"
"['bintang', 'lama', 'ken', 'akun', 'hilang', 'akun', 'google', 'ingat', 'nyambungin', 'mana', 'agak', 'kesal', 'akun', 'kerenlevel', 'infinity', 'jaga', 'signature', 'nyabuat', 'pensi', 'haru', 'pensi', 'habis', 'kapan', 'hapus', 'akun', 'agak', 'nyesel', 'pernah', 'sumpah', 'muak', 'gimana']","['agak', 'akun', 'bintang', 'gimana', 'google', 'habis', 'hapus', 'haru', 'hilang', 'infinity', 'ingat', 'jaga', 'kapan', 'ken', 'kerenlevel', 'kesal', 'lama', 'mana', 'muak', 'nyabuat', 'nyambungin', 'nyesel', 'pensi', 'pernah', 'signature', 'sumpah']"
"['heran', 'lawan', 'terlalu', 'kuat', 'dage', 'lawan', 'terlalu', 'tinggi', 'satu', 'serang', 'langsung', 'mati']","['dage', 'heran', 'kuat', 'langsung', 'lawan', 'mati', 'satu', 'serang', 'terlalu', 'tinggi']"
"['berat', 'banget', 'ui', 'fc', 'belum', 'optimal']","['banget', 'belum', 'berat', 'fc', 'optimal', 'ui']"
"['oke', 'matsmeking', 'sudah', 'bagus', 'tanks', 'respon', 'cepet', 'lajutkan', 'mets', 'meking', 'adil', 'vs', 'jan', 'skin', 'bayakin', 'metsmeking', 'ancur', 'bintang', 'metsmeking']","['adil', 'ancur', 'bagus', 'bayakin', 'bintang', 'cepet', 'jan', 'lajutkan', 'matsmeking', 'meking', 'mets', 'metsmeking', 'oke', 'respon', 'skin', 'sudah', 'tanks', 'vs']"
"['masalah', 'yahh', 'lag', 'sendiri', 'ping', 'hijau', 'truss', 'crash', 'sudah', 'gtu', 'langsung', 'kluar', 'dri', 'sendiri', 'sudah', 'turunin', 'grafik', 'ttep', 'gda', 'masalah', 'dri']","['crash', 'dri', 'gda', 'grafik', 'gtu', 'hijau', 'kluar', 'lag', 'langsung', 'masalah', 'ping', 'sendiri', 'sudah', 'truss', 'ttep', 'turunin', 'yahh']"
['kacau'],['kacau']
"['makin', 'jelas', 'report', 'sengaja', 'laku', 'feeding', 'nilai', 'sapa', 'laku', 'feeding']","['feeding', 'jelas', 'laku', 'makin', 'nilai', 'report', 'sapa', 'sengaja']"
"['suka', 'walaupun', 'suka', 'bug', 'tetapi', 'keren', 'banget', 'mohon', 'maaf', 'bugnge', 'lag', 'tolong', 'baik', 'biar', 'semua', 'senang', 'hati', 'terimakasih', 'sudah']","['baik', 'banget', 'biar', 'bug', 'bugnge', 'hati', 'keren', 'lag', 'maaf', 'mohon', 'semua', 'senang', 'sudah', 'suka', 'terimakasih', 'tetapi', 'tolong', 'walaupun']"
"['kurang', 'update', 'jika']","['jika', 'kurang', 'update']"
"['baik', 'buruk', 'anomali', 'butuh', 'saran', 'butuh', 'sedikit', 'ubah']","['anomali', 'baik', 'buruk', 'butuh', 'saran', 'sedikit', 'ubah']"
"['makin', 'sinyal', 'makin', 'buruk', 'masa', 'sinyal', 'hijau', 'lag', 'patah', 'bukan', 'patah', 'masalah', 'masalah']","['bukan', 'buruk', 'hijau', 'lag', 'makin', 'masa', 'masalah', 'patah', 'sinyal']"
"['musuh', 'benar', 'jangan', 'buruk', 'musuh', 'ngotak', 'skill', 'satu', 'khusus', 'gold', 'gold', 'jangan', 'campur', 'burikk', 'sudah', 'rekomen']","['benar', 'burikk', 'buruk', 'campur', 'gold', 'jangan', 'khusus', 'musuh', 'ngotak', 'rekomen', 'satu', 'skill', 'sudah']"
"['draft', 'mu', 'nyatuin', 'bot', 'trs', 'nob', 'stres', 'mantan', 'gm', 'kecewa', 'pngen']","['bot', 'draft', 'gm', 'kecewa', 'mantan', 'mu', 'nob', 'nyatuin', 'pngen', 'stres', 'trs']"
"['bagus', 'sampai', 'papa', 'adik', 'pokok', 'bagus', 'bintang']","['adik', 'bagus', 'bintang', 'papa', 'pokok', 'sampai']"
"['pisahin', 'ph', 'server', 'lain', 'isi', 'troll', 'egois', 'semua', 'separty', 'cari', 'untung', 'sendiri', 'gapeduli', 'sudah', 'gaada', 'uba', 'nyoba', 'maksa', 'rebut', 'sesuai', 'afk', 'dll', 'konyol', 'ngetroll', 'egois', 'mvp', 'sementara', 'pontang', 'panting', 'deffend', 'tower', 'sana', 'kena', 'penalty', 'kurang', 'brengsek', 'ha']","['afk', 'brengsek', 'cari', 'deffend', 'dll', 'egois', 'gaada', 'gapeduli', 'ha', 'isi', 'kena', 'konyol', 'kurang', 'lain', 'maksa', 'mvp', 'ngetroll', 'nyoba', 'panting', 'penalty', 'ph', 'pisahin', 'pontang', 'rebut', 'sana', 'sementara', 'semua', 'sendiri', 'separty', 'server', 'sesuai', 'sudah', 'tower', 'troll', 'uba', 'untung']"
"['keren', 'banget', 'cok']","['banget', 'cok', 'keren']"
['keren'],['keren']
"['naik', 'turun', 'duit', 'tolong', 'ndak', 'paham', 'tolong', 'jangan', 'hapus', 'dua', 'lipat', 'no', 'oking', 'dua', 'lipat', 'kisah', 'juang']","['dua', 'duit', 'hapus', 'jangan', 'juang', 'kisah', 'lipat', 'naik', 'ndak', 'no', 'oking', 'paham', 'tolong', 'turun']"
"['cacat', 'curi', 'sekarang', 'legal']","['cacat', 'curi', 'legal', 'sekarang']"
"['bagus', 'banget']","['bagus', 'banget']"
"['bagus', 'banget']","['bagus', 'banget']"
"['frame', 'parah', 'sekarang', 'tambah', 'sinyal', 'jumping']","['frame', 'jumping', 'parah', 'sekarang', 'sinyal', 'tambah']"
"['pensi', 'musuh', 'bot']","['bot', 'musuh', 'pensi']"
"['asik', 'baru', 'donlowad', 'langsung', 'ulas', 'moga', 'hemat', 'kuota', 'beri', 'musuh', 'adil']","['adil', 'asik', 'baru', 'beri', 'donlowad', 'hemat', 'kuota', 'langsung', 'moga', 'musuh', 'ulas']"
"['tolol', 'make', 'bukan', 'line', 'ngak', 'anggap', 'pelanggaan', 'report', 'stuck', 'blank']","['anggap', 'blank', 'bukan', 'line', 'make', 'ngak', 'pelanggaan', 'report', 'stuck', 'tolol']"
"['overall', 'good', 'but', 'camera', 'too', 'close']","['but', 'camera', 'close', 'good', 'overall', 'too']"
"['aneh', 'nulis', 'pocong', 'hunter', 'ketemu', 'buruk', 'bahkan', 'lebih', 'buruk', 'ff']","['aneh', 'bahkan', 'buruk', 'ff', 'hunter', 'ketemu', 'lebih', 'nulis', 'pocong']"
"['suka', 'banget', 'seru', 'asyik', 'banyak', 'suka']","['asyik', 'banget', 'banyak', 'seru', 'suka']"
"['fps', 'naik', 'tibatiba', 'momen', 'krusial', 'lain', 'bagus', 'device', 'dukung']","['bagus', 'device', 'dukung', 'fps', 'krusial', 'lain', 'momen', 'naik', 'tibatiba']"
['bagus'],['bagus']
"['gameku', 'bintang', 'skin', 'gratis', 'coy', 'mungkin', 'ngonten', 'nanti', 'besar', 'meski', 'ngikutan', 'bagus', 'lebih', 'kualitas', 'neng', 'kadang', 'serlok', 'takparani', 'striker', 'sendiri', 'kelas', 'banget', 'by']","['bagus', 'banget', 'besar', 'bintang', 'by', 'coy', 'gameku', 'gratis', 'kadang', 'kelas', 'kualitas', 'lebih', 'meski', 'mungkin', 'nanti', 'neng', 'ngikutan', 'ngonten', 'sendiri', 'serlok', 'skin', 'striker', 'takparani']"
"['boros', 'korban', 'king', 'cuma', 'modal', 'unduh', 'cuma', 'satu', 'habis', 'baru', 'gb', 'sumber', 'daya', 'play', 'emblem', 'semua', 'susa', 'mudah', 'offline', 'masukin', 'paksa', 'update', 'update', 'tunda', 'offline', 'langsung', 'mainin', 'loading', 'unduh', 'lama', 'skill', 'tebel', 'kentang', 'efek', 'kunci', 'skill', 'musuh', 'nyesel', 'unduh']","['baru', 'boros', 'cuma', 'daya', 'efek', 'emblem', 'gb', 'habis', 'kentang', 'king', 'korban', 'kunci', 'lama', 'langsung', 'loading', 'mainin', 'masukin', 'modal', 'mudah', 'musuh', 'nyesel', 'offline', 'paksa', 'play', 'satu', 'semua', 'skill', 'sumber', 'susa', 'tebel', 'tunda', 'unduh', 'update']"
"['ketemu', 'musuh', 'bahkan', 'bilang', 'lebih', 'banyak', 'kalah', 'menang', 'gimana', 'win', 'and', 'lost', 'banyak', 'lostkalah', 'baru', 'menang', 'kalah', 'menang', 'kalah', 'asa', 'dimoba', 'lain', 'terlalu', 'begini', 'jujur', 'tolong', 'harga']","['and', 'asa', 'bahkan', 'banyak', 'baru', 'begini', 'bilang', 'dimoba', 'gimana', 'harga', 'jujur', 'kalah', 'ketemu', 'lain', 'lebih', 'lost', 'lostkalah', 'menang', 'musuh', 'terlalu', 'tolong', 'win']"
"['bodoh', 'akun', 'ban', 'permanent', 'banyak', 'jasa', 'joki', 'akun', 'kalah', 'feeder', 'sengaja', 'pura', 'pura', 'serang', 'demi', 'musuh', 'menang', 'dapatin', 'top', 'tup', 'skin', 'mahal', 'mending', 'uninstall', 'nanti', 'bulan']","['akun', 'ban', 'banyak', 'bodoh', 'bulan', 'dapatin', 'demi', 'feeder', 'jasa', 'joki', 'kalah', 'mahal', 'menang', 'mending', 'musuh', 'nanti', 'permanent', 'pura', 'sengaja', 'serang', 'skin', 'top', 'tup', 'uninstall']"
"['tolong', 'buatin', 'versi', 'litenya', 'indonesia', 'pliss', 'hpku', 'halang', 'ram']","['buatin', 'halang', 'hpku', 'indonesia', 'litenya', 'pliss', 'ram', 'tolong', 'versi']"
"['buruk', 'pernah', 'sesal', 'donwload', 'serasa', 'komputer', 'mending', 'stun', 'ngotak', 'lama', 'benar', 'diem', 'sampai', 'habis', 'nyawa', 'baru', 'gerak', 'anjur', 'dragsistem']","['anjur', 'baru', 'benar', 'buruk', 'diem', 'donwload', 'dragsistem', 'gerak', 'habis', 'komputer', 'lama', 'mending', 'ngotak', 'nyawa', 'pernah', 'sampai', 'serasa', 'sesal', 'stun']"
"['aneh', 'lain', 'minta', 'tuker', 'kena', 'report', 'ambil']","['ambil', 'aneh', 'kena', 'lain', 'minta', 'report', 'tuker']"
['suka'],['suka']
"['busuk', 'sinyal', 'bagus', 'gerak']","['bagus', 'busuk', 'gerak', 'sinyal']"
"['bug', 'mlu', 'kyak']","['bug', 'kyak', 'mlu']"
"['damage', 'turet', 'kurang', 'kurang', 'kurang', 'kurang', 'sakit', 'base']","['base', 'damage', 'kurang', 'sakit', 'turet']"
"['jangan', 'banyak', 'tolol', 'utama', 'philipne', 'ngabisin', 'kuota', 'kesel', 'lose', 'nanti', 'alas', 'usai', 'gacha', 'random', 'alas', 'adminya', 'keluh', 'cuekin', 'negri', 'konoha', 'percaya', 'cek', 'sendiri', 'uda', 'tier', 'atas', 'banting']","['adminya', 'alas', 'atas', 'banting', 'banyak', 'cek', 'cuekin', 'gacha', 'jangan', 'keluh', 'kesel', 'konoha', 'kuota', 'lose', 'nanti', 'negri', 'ngabisin', 'percaya', 'philipne', 'random', 'sendiri', 'tier', 'tolol', 'uda', 'usai', 'utama']"
"['seluruh', 'spektakuler', 'sendiri', 'tenchent', 'games', 'beri', 'pasti', 'nguras', 'banyak', 'baget', 'cuy', 'tapiya', 'dia', 'beri', 'grafis', 'manja', 'mata', 'semua', 'tanks', 'developer', 'utama', 'tenchen', 'salut', 'lo', 'gagal', 'saran', 'ngehidupin', 'chess', 'rush', 'tolong', 'developer', 'terimakasih']","['baget', 'banyak', 'beri', 'chess', 'cuy', 'developer', 'dia', 'gagal', 'games', 'grafis', 'lo', 'manja', 'mata', 'ngehidupin', 'nguras', 'pasti', 'rush', 'salut', 'saran', 'seluruh', 'semua', 'sendiri', 'spektakuler', 'tanks', 'tapiya', 'tenchen', 'tenchent', 'terimakasih', 'tolong', 'utama']"
"['saran', 'diupdate', 'sesuai', 'tinggi', 'sebut', 'ketemu', 'mana', 'tinggi', 'mid', 'dia', 'jungle', 'sedang', 'mid', 'tinggi', 'support', 'imbang', 'ujung', 'ajang', 'coba', 'coba']","['ajang', 'coba', 'dia', 'diupdate', 'imbang', 'jungle', 'ketemu', 'mana', 'mid', 'saran', 'sebut', 'sedang', 'sesuai', 'support', 'tinggi', 'ujung']"
"['oke', 'pokok']","['oke', 'pokok']"
"['rusak', 'kalah']","['kalah', 'rusak']"
"['coba', 'oke', 'banget', 'normal', 'sudah', 'sampai', 'gold', 'masuk', 'ranked', 'selalu', 'putus', 'normal', 'lancar', 'ranked', 'selalu', 'putus', 'tolong', 'baik', 'hapus', 'mending', 'laen']","['baik', 'banget', 'coba', 'gold', 'hapus', 'laen', 'lancar', 'masuk', 'mending', 'normal', 'oke', 'putus', 'ranked', 'sampai', 'selalu', 'sudah', 'tolong']"
"['gajelas', 'masa', 'duo', 'teman', 'ketemu', 'master', 'sedang', 'tmn', 'sudah', 'gm', 'musuh', 'gm', 'smua', 'sampai', 'mitik', 'mana', 'biasa', 'ngetrol', 'ampe', 'lose', 'gaada', 'naik', 'naik', 'minimal', 'kalah', 'kasi', 'musuh', 'gampang', 'gm', 'bintang', 'turun', 'ampe', 'master', 'bintang', 'biasa', 'new', 'baru']","['ampe', 'baru', 'biasa', 'bintang', 'duo', 'gaada', 'gajelas', 'gampang', 'gm', 'kalah', 'kasi', 'ketemu', 'lose', 'mana', 'masa', 'master', 'minimal', 'mitik', 'musuh', 'naik', 'new', 'ngetrol', 'sampai', 'sedang', 'smua', 'sudah', 'teman', 'tmn', 'turun']"
