userName,content,appVersion,content_clean,tokenized,filtered_tokens,stopwords_removed,stemmed_tokens,slang_replaced,label,self_trained_label
Fadil Al-Kahfi,👍👍,2.1.18.11201,👍👍,['👍👍'],[],[],[],[],,negative
Nucnuc 212,"game nya dark sistem ,",2.1.18.11201,"game nya dark sistem ,","['game', 'nya', 'dark', 'sistem', ',']","['game', 'nya', 'dark', 'sistem']",['gelap'],"['game', 'nya', 'dark', 'sistem']","['game', 'nya', 'gelap', 'sistem']",,negative
Dede Rosidin,game ciga bagong ayna sia t bisa ngajawab pertanyaan aing..kana jaringan aing sia di jieun berem..najis ayna mah aing kudu maen deui game ieu,2.1.18.11201,game ciga bagong ayna sia t bisa ngajawab pertanyaan aing..kana jaringan aing sia di jieun berem..najis ayna mah aing kudu maen deui game ieu,"['game', 'ciga', 'bagong', 'ayna', 'sia', 't', 'bisa', 'ngajawab', 'pertanyaan', 'aing', '..', 'kana', 'jaringan', 'aing', 'sia', 'di', 'jieun', 'berem', '..', 'najis', 'ayna', 'mah', 'aing', 'kudu', 'maen', 'deui', 'game', 'ieu']","['game', 'ciga', 'bagong', 'ayna', 'sia', 't', 'bisa', 'ngajawab', 'pertanyaan', 'aing', 'kana', 'jaringan', 'aing', 'sia', 'di', 'jieun', 'berem', 'najis', 'ayna', 'mah', 'aing', 'kudu', 'maen', 'deui', 'game', 'ieu']","['ciga', 'bagong', 'ayna', 'sia', 't', 'ngajawab', 'tanya', 'aing', 'kana', 'aing', 'sia', 'jieun', 'rem', 'najis', 'ayna', 'mah', 'aing', 'kudu', 'deui', 'ieu']","['game', 'ciga', 'bagong', 'ayna', 'sia', 't', 'bisa', 'ngajawab', 'tanya', 'aing', 'kana', 'jaring', 'aing', 'sia', 'di', 'jieun', 'rem', 'najis', 'ayna', 'mah', 'aing', 'kudu', 'maen', 'deui', 'game', 'ieu']","['game', 'ciga', 'bagong', 'ayna', 'sia', 't', 'bisa', 'ngajawab', 'tanya', 'aing', 'kana', 'jaring', 'aing', 'sia', 'di', 'jieun', 'rem', 'najis', 'ayna', 'mah', 'aing', 'kudu', 'main', 'deui', 'game', 'ieu']",,negative
Reski Jpot,"game mkin rusak, suka lag pdhal jringan hijau mnding gk usahhh dowload",2.1.18.11201,"game mkin rusak, suka lag pdhal jringan hijau mnding gk usahhh dowload","['game', 'mkin', 'rusak', ',', 'suka', 'lag', 'pdhal', 'jringan', 'hijau', 'mnding', 'gk', 'usahhh', 'dowload']","['game', 'mkin', 'rusak', 'suka', 'lag', 'pdhal', 'jringan', 'hijau', 'mnding', 'gk', 'usah', 'dowload']","['mkin', 'rusak', 'suka', 'lag', 'pdhal', 'jringan', 'hijau', 'mnding', 'usah', 'dowload']","['game', 'mkin', 'rusak', 'suka', 'lag', 'pdhal', 'jringan', 'hijau', 'mnding', 'gk', 'usah', 'dowload']","['game', 'mkin', 'rusak', 'suka', 'lag', 'pdhal', 'jringan', 'hijau', 'mnding', 'tidak', 'usah', 'dowload']",,negative
MaBaR Seru,game hama,,game hama,"['game', 'hama']","['game', 'hama']",['hama'],"['game', 'hama']","['game', 'hama']",,negative
Surati Surati,"sinyal bagus padahal tapi masih aja ngelag, bikin emosi aja",2.1.18.11201,"sinyal bagus padahal tapi masih aja ngelag, bikin emosi aja","['sinyal', 'bagus', 'padahal', 'tapi', 'masih', 'aja', 'ngelag', ',', 'bikin', 'emosi', 'aja']","['sinyal', 'bagus', 'padahal', 'tapi', 'masih', 'aja', 'ngelag', 'bikin', 'emosi', 'aja']","['sinyal', 'bagus', 'lag', 'emosi']","['sinyal', 'bagus', 'padahal', 'tapi', 'masih', 'aja', 'ngelag', 'bikin', 'emosi', 'aja']","['sinyal', 'bagus', 'padahal', 'tapi', 'masih', 'aja', 'lag', 'bikin', 'emosi', 'aja']",,negative
GONTANG LASO,sering lag padahal pake wifi,2.1.18.11201,sering lag padahal pake wifi,"['sering', 'lag', 'padahal', 'pake', 'wifi']","['sering', 'lag', 'padahal', 'pake', 'wifi']","['lag', 'wifi']","['sering', 'lag', 'padahal', 'pake', 'wifi']","['sering', 'lag', 'padahal', 'pakai', 'wifi']",,negative
Natzhnn,"game ga guna, setiap main jaringan nya jelek, tapi pas nonton yt,ig,tiktok, lancar banget asli ini game ga berguna kntol",1.9.70.10634,"game ga guna, setiap main jaringan nya jelek, tapi pas nonton yt,ig,tiktok, lancar banget asli ini game ga berguna kntol","['game', 'ga', 'guna', ',', 'setiap', 'main', 'jaringan', 'nya', 'jelek', ',', 'tapi', 'pas', 'nonton', 'yt', ',', 'ig', ',', 'tiktok', ',', 'lancar', 'banget', 'asli', 'ini', 'game', 'ga', 'berguna', 'kntol']","['game', 'ga', 'guna', 'setiap', 'main', 'jaringan', 'nya', 'jelek', 'tapi', 'pas', 'nonton', 'yt', 'ig', 'tiktok', 'lancar', 'banget', 'asli', 'ini', 'game', 'ga', 'berguna', 'kntol']","['guna', 'jelek', 'nonton', 'yt', 'ig', 'tiktok', 'lancar', 'banget', 'asli', 'guna', 'kntol']","['game', 'ga', 'guna', 'tiap', 'main', 'jaring', 'nya', 'jelek', 'tapi', 'pas', 'nonton', 'yt', 'ig', 'tiktok', 'lancar', 'banget', 'asli', 'ini', 'game', 'ga', 'guna', 'kntol']","['game', 'tidak', 'guna', 'tiap', 'main', 'jaring', 'nya', 'jelek', 'tapi', 'pas', 'nonton', 'yt', 'ig', 'tiktok', 'lancar', 'banget', 'asli', 'ini', 'game', 'tidak', 'guna', 'kntol']",,negative
Silvan Rizky US,"Gamenya makin burik, tapi yang kagak gw senengin itu ketika rank solo selalu dapet tim feeder seperti bot, gk tahu jenis item sama emblem yang dibutuhkan, terkadang sering dapet tim asal pilih Hero Honor of King jauh lebih seru 🤣",2.1.18.11201,"gamenya makin burik, tapi yang kagak gw senengin itu ketika rank solo selalu dapet tim feeder seperti bot, gk tahu jenis item sama emblem yang dibutuhkan, terkadang sering dapet tim asal pilih hero honor of king jauh lebih seru 🤣","['gamenya', 'makin', 'burik', ',', 'tapi', 'yang', 'kagak', 'gw', 'senengin', 'itu', 'ketika', 'rank', 'solo', 'selalu', 'dapet', 'tim', 'feeder', 'seperti', 'bot', ',', 'gk', 'tahu', 'jenis', 'item', 'sama', 'emblem', 'yang', 'dibutuhkan', ',', 'terkadang', 'sering', 'dapet', 'tim', 'asal', 'pilih', 'hero', 'honor', 'of', 'king', 'jauh', 'lebih', 'seru', '🤣']","['gamenya', 'makin', 'burik', 'tapi', 'yang', 'kagak', 'gw', 'senengin', 'itu', 'ketika', 'rank', 'solo', 'selalu', 'dapet', 'tim', 'feeder', 'seperti', 'bot', 'gk', 'tahu', 'jenis', 'item', 'sama', 'emblem', 'yang', 'dibutuhkan', 'terkadang', 'sering', 'dapet', 'tim', 'asal', 'pilih', 'hero', 'honor', 'of', 'king', 'jauh', 'lebih', 'seru']","['makin', 'buruk', 'kagak', 'senengin', 'selalu', 'feeder', 'bot', 'tahu', 'jenis', 'item', 'emblem', 'butuh', 'terkadang', 'asal', 'pilih', 'king', 'jauh', 'lebih', 'seru']","['gamenya', 'makin', 'burik', 'tapi', 'yang', 'kagak', 'gw', 'senengin', 'itu', 'ketika', 'rank', 'solo', 'selalu', 'dapet', 'tim', 'feeder', 'seperti', 'bot', 'gk', 'tahu', 'jenis', 'item', 'sama', 'emblem', 'yang', 'butuh', 'terkadang', 'sering', 'dapet', 'tim', 'asal', 'pilih', 'hero', 'honor', 'of', 'king', 'jauh', 'lebih', 'seru']","['game', 'makin', 'buruk', 'tapi', 'yang', 'kagak', 'aku', 'senengin', 'itu', 'ketika', 'rank', 'solo', 'selalu', 'dapet', 'team', 'feeder', 'seperti', 'bot', 'tidak', 'tahu', 'jenis', 'item', 'sama', 'emblem', 'yang', 'butuh', 'terkadang', 'sering', 'dapet', 'team', 'asal', 'pilih', 'hero', 'honor', 'of', 'king', 'jauh', 'lebih', 'seru']",,negative
Adli Panggabean,woi kau bagus bagus sikit ngasih tim game t41 timnya 00N semua hapus aja ini game dari play store,2.1.18.11201,woi kau bagus bagus sikit ngasih tim game t41 timnya 00n semua hapus aja ini game dari play store,"['woi', 'kau', 'bagus', 'bagus', 'sikit', 'ngasih', 'tim', 'game', 't41', 'timnya', '00n', 'semua', 'hapus', 'aja', 'ini', 'game', 'dari', 'play', 'store']","['woi', 'kau', 'bagus', 'bagus', 'sikit', 'ngasih', 'tim', 'game', 't', 'timnya', 'n', 'semua', 'hapus', 'aja', 'ini', 'game', 'dari', 'play', 'store']","['buruk', 'kau', 'bagus', 'bagus', 'sikit', 'beri', 't', 'n', 'semua', 'hapus', 'play', 'store']","['woi', 'kau', 'bagus', 'bagus', 'sikit', 'ngasih', 'tim', 'game', 't', 'tim', 'n', 'semua', 'hapus', 'aja', 'ini', 'game', 'dari', 'play', 'store']","['buruk', 'kau', 'bagus', 'bagus', 'sikit', 'beri', 'team', 'game', 't', 'team', 'n', 'semua', 'hapus', 'aja', 'ini', 'game', 'dari', 'play', 'store']",,positive
Rama Pramudya,update season Mulu gak pernah benerin itu jaringan padahal sinyal bagus malah ngelag butut emang,,update season mulu gak pernah benerin itu jaringan padahal sinyal bagus malah ngelag butut emang,"['update', 'season', 'mulu', 'gak', 'pernah', 'benerin', 'itu', 'jaringan', 'padahal', 'sinyal', 'bagus', 'malah', 'ngelag', 'butut', 'emang']","['update', 'season', 'mulu', 'gak', 'pernah', 'benerin', 'itu', 'jaringan', 'padahal', 'sinyal', 'bagus', 'malah', 'ngelag', 'butut', 'emang']","['update', 'season', 'pernah', 'rusak', 'sinyal', 'bagus', 'lag', 'butut']","['update', 'season', 'mulu', 'gak', 'pernah', 'benerin', 'itu', 'jaring', 'padahal', 'sinyal', 'bagus', 'malah', 'ngelag', 'butut', 'emang']","['update', 'season', 'mulu', 'tidak', 'pernah', 'rusak', 'itu', 'jaring', 'padahal', 'sinyal', 'bagus', 'malah', 'lag', 'butut', 'memang']",,negative
Albyan Muhamad,Dikasih kalah mulu sama lawanya di kasih ngeri mulu ml ml lol,2.1.18.11201,dikasih kalah mulu sama lawanya di kasih ngeri mulu ml ml lol,"['dikasih', 'kalah', 'mulu', 'sama', 'lawanya', 'di', 'kasih', 'ngeri', 'mulu', 'ml', 'ml', 'lol']","['dikasih', 'kalah', 'mulu', 'sama', 'lawanya', 'di', 'kasih', 'ngeri', 'mulu', 'ml', 'ml', 'lol']","['kalah', 'lawa', 'ngeri', 'lol']","['kasih', 'kalah', 'mulu', 'sama', 'lawa', 'di', 'kasih', 'ngeri', 'mulu', 'ml', 'ml', 'lol']","['kasih', 'kalah', 'mulu', 'sama', 'lawa', 'di', 'kasih', 'ngeri', 'mulu', 'ml', 'ml', 'lol']",,negative
Salman Albanani,game aneh,2.1.18.11201,game aneh,"['game', 'aneh']","['game', 'aneh']",['aneh'],"['game', 'aneh']","['game', 'aneh']",,negative
Licht Bach,game toksik,,game toksik,"['game', 'toksik']","['game', 'toksik']",['buruk'],"['game', 'toksik']","['game', 'buruk']",,negative
Roni Putra,Saat main sinyal down. Ga pernah di perhatikan saat complain ttg kestabilan sinyal. update terbaru ngelag parah,2.1.18.11201,saat main sinyal down. ga pernah di perhatikan saat complain ttg kestabilan sinyal. update terbaru ngelag parah,"['saat', 'main', 'sinyal', 'down', '.', 'ga', 'pernah', 'di', 'perhatikan', 'saat', 'complain', 'ttg', 'kestabilan', 'sinyal', '.', 'update', 'terbaru', 'ngelag', 'parah']","['saat', 'main', 'sinyal', 'down', 'ga', 'pernah', 'di', 'perhatikan', 'saat', 'complain', 'ttg', 'kestabilan', 'sinyal', 'update', 'terbaru', 'ngelag', 'parah']","['sinyal', 'down', 'pernah', 'perhati', 'complain', 'ttg', 'stabil', 'sinyal', 'update', 'baru', 'lag', 'parah']","['saat', 'main', 'sinyal', 'down', 'ga', 'pernah', 'di', 'perhati', 'saat', 'complain', 'ttg', 'stabil', 'sinyal', 'update', 'baru', 'ngelag', 'parah']","['saat', 'main', 'sinyal', 'down', 'tidak', 'pernah', 'di', 'perhati', 'saat', 'complain', 'ttg', 'stabil', 'sinyal', 'update', 'baru', 'lag', 'parah']",,negative
Hisyam Abdulwahab,"gk jelas ni game selama di update malah makin parah lag nya pdhl hijau sinyalllll tiba tiba msuk ke permainan lagg , afk memang gk jelas",2.1.18.11201,"gk jelas ni game selama di update malah makin parah lag nya pdhl hijau sinyalllll tiba tiba msuk ke permainan lagg , afk memang gk jelas","['gk', 'jelas', 'ni', 'game', 'selama', 'di', 'update', 'malah', 'makin', 'parah', 'lag', 'nya', 'pdhl', 'hijau', 'sinyalllll', 'tiba', 'tiba', 'msuk', 'ke', 'permainan', 'lagg', ',', 'afk', 'memang', 'gk', 'jelas']","['gk', 'jelas', 'ni', 'game', 'selama', 'di', 'update', 'malah', 'makin', 'parah', 'lag', 'nya', 'pdhl', 'hijau', 'sinyal', 'tiba', 'tiba', 'msuk', 'ke', 'permainan', 'lagg', 'afk', 'memang', 'gk', 'jelas']","['jelas', 'lama', 'update', 'makin', 'parah', 'lag', 'pdhl', 'hijau', 'sinyal', 'msuk', 'lagg', 'afk', 'jelas']","['gk', 'jelas', 'ni', 'game', 'lama', 'di', 'update', 'malah', 'makin', 'parah', 'lag', 'nya', 'pdhl', 'hijau', 'sinyal', 'tiba', 'tiba', 'msuk', 'ke', 'main', 'lagg', 'afk', 'memang', 'gk', 'jelas']","['tidak', 'jelas', 'ini', 'game', 'lama', 'di', 'update', 'malah', 'makin', 'parah', 'lag', 'nya', 'pdhl', 'hijau', 'sinyal', 'tiba', 'tiba', 'msuk', 'ke', 'main', 'lagg', 'afk', 'memang', 'tidak', 'jelas']",,negative
Ilham Yahya,Game gaje di glory isi nya tetp banyak draksisitem,,game gaje di glory isi nya tetp banyak draksisitem,"['game', 'gaje', 'di', 'glory', 'isi', 'nya', 'tetp', 'banyak', 'draksisitem']","['game', 'gaje', 'di', 'glory', 'isi', 'nya', 'tetp', 'banyak', 'draksisitem']","['gaje', 'glory', 'isi', 'tetp', 'banyak', 'draksisitem']","['game', 'gaje', 'di', 'glory', 'isi', 'nya', 'tetp', 'banyak', 'draksisitem']","['game', 'gaje', 'di', 'glory', 'isi', 'nya', 'tetp', 'banyak', 'draksisitem']",,negative
Adhitya26 Ferdiansyah,game munafik bego mau win aj di kasih klh dlu wkwk ampas push lama2 cuman stack di lingkaran setan moonton klo kaya gtu trus mending pindah game ketimbang main game kikir cuman stack di rank mawi. minimal klo ngasih team yg imbang dikit biadab masa team musuh pro team gw bot mikir bego mending main ep ep ketimbang main game kikir,2.1.18.11201,game munafik bego mau win aj di kasih klh dlu wkwk ampas push lama2 cuman stack di lingkaran setan moonton klo kaya gtu trus mending pindah game ketimbang main game kikir cuman stack di rank mawi. minimal klo ngasih team yg imbang dikit biadab masa team musuh pro team gw bot mikir bego mending main ep ep ketimbang main game kikir,"['game', 'munafik', 'bego', 'mau', 'win', 'aj', 'di', 'kasih', 'klh', 'dlu', 'wkwk', 'ampas', 'push', 'lama2', 'cuman', 'stack', 'di', 'lingkaran', 'setan', 'moonton', 'klo', 'kaya', 'gtu', 'trus', 'mending', 'pindah', 'game', 'ketimbang', 'main', 'game', 'kikir', 'cuman', 'stack', 'di', 'rank', 'mawi', '.', 'minimal', 'klo', 'ngasih', 'team', 'yg', 'imbang', 'dikit', 'biadab', 'masa', 'team', 'musuh', 'pro', 'team', 'gw', 'bot', 'mikir', 'bego', 'mending', 'main', 'ep', 'ep', 'ketimbang', 'main', 'game', 'kikir']","['game', 'munafik', 'bego', 'mau', 'win', 'aj', 'di', 'kasih', 'klh', 'dlu', 'wkwk', 'ampas', 'push', 'lama', 'cuman', 'stack', 'di', 'lingkaran', 'setan', 'moonton', 'klo', 'kaya', 'gtu', 'trus', 'mending', 'pindah', 'game', 'ketimbang', 'main', 'game', 'kikir', 'cuman', 'stack', 'di', 'rank', 'mawi', 'minimal', 'klo', 'ngasih', 'team', 'yg', 'imbang', 'dikit', 'biadab', 'masa', 'team', 'musuh', 'pro', 'team', 'gw', 'bot', 'mikir', 'bego', 'mending', 'main', 'ep', 'ep', 'ketimbang', 'main', 'game', 'kikir']","['munafik', 'bego', 'win', 'klh', 'dlu', 'wkwk', 'buruk', 'push', 'lama', 'stack', 'lingkar', 'setan', 'gtu', 'mending', 'pindah', 'ketimbang', 'kikir', 'stack', 'mawi', 'minimal', 'beri', 'imbang', 'sedikit', 'biadab', 'masa', 'musuh', 'pro', 'bot', 'mikir', 'bego', 'mending', 'ep', 'ep', 'ketimbang', 'kikir']","['game', 'munafik', 'bego', 'mau', 'win', 'aj', 'di', 'kasih', 'klh', 'dlu', 'wkwk', 'ampas', 'push', 'lama', 'cuman', 'stack', 'di', 'lingkar', 'setan', 'moonton', 'klo', 'kaya', 'gtu', 'trus', 'mending', 'pindah', 'game', 'ketimbang', 'main', 'game', 'kikir', 'cuman', 'stack', 'di', 'rank', 'mawi', 'minimal', 'klo', 'ngasih', 'team', 'yg', 'imbang', 'dikit', 'biadab', 'masa', 'team', 'musuh', 'pro', 'team', 'gw', 'bot', 'mikir', 'bego', 'mending', 'main', 'ep', 'ep', 'ketimbang', 'main', 'game', 'kikir']","['game', 'munafik', 'bego', 'mau', 'win', 'aja', 'di', 'kasih', 'klh', 'dlu', 'wkwk', 'buruk', 'push', 'lama', 'hanya', 'stack', 'di', 'lingkar', 'setan', 'moonton', 'kalau', 'seperti', 'gtu', 'terus', 'mending', 'pindah', 'game', 'ketimbang', 'main', 'game', 'kikir', 'hanya', 'stack', 'di', 'rank', 'mawi', 'minimal', 'kalau', 'beri', 'team', 'yang', 'imbang', 'sedikit', 'biadab', 'masa', 'team', 'musuh', 'pro', 'team', 'aku', 'bot', 'mikir', 'bego', 'mending', 'main', 'ep', 'ep', 'ketimbang', 'main', 'game', 'kikir']",,negative
Rangga Ramadhans,"makin absurb match makingnya,sangat sangat tidak seimbang cuih,sampah staffnya ngga bisa kerja!",2.1.18.11201,"makin absurb match makingnya,sangat sangat tidak seimbang cuih,sampah staffnya ngga bisa kerja!","['makin', 'absurb', 'match', 'makingnya', ',', 'sangat', 'sangat', 'tidak', 'seimbang', 'cuih', ',', 'sampah', 'staffnya', 'ngga', 'bisa', 'kerja', '!']","['makin', 'absurb', 'match', 'makingnya', 'sangat', 'sangat', 'tidak', 'seimbang', 'cuih', 'sampah', 'staffnya', 'ngga', 'bisa', 'kerja']","['makin', 'absurb', 'imbang', 'cuih', 'sampah', 'staffnya', 'ngga', 'kerja']","['makin', 'absurb', 'match', 'making', 'sangat', 'sangat', 'tidak', 'imbang', 'cuih', 'sampah', 'staffnya', 'ngga', 'bisa', 'kerja']","['makin', 'absurb', 'match', 'making', 'sangat', 'sangat', 'tidak', 'imbang', 'cuih', 'sampah', 'staffnya', 'ngga', 'bisa', 'kerja']",,positive
