userName,content,appVersion,content_clean,tokenized,filtered_tokens,stopwords_removed,stemmed_tokens,slang_replaced,label
Iron Man,tolong di perbaiki masalh jaringan nya. sangat menggangu saat lagi main rank,11.1.1.4,tolong di perbaiki masalh jaringan nya. sangat menggangu saat lagi main rank,"['tolong', 'di', 'perbaiki', 'masalh', 'jaringan', 'nya', '.', 'sangat', 'menggangu', 'saat', 'lagi', 'main', 'rank']","['tolong', 'di', 'perbaiki', 'masalh', 'jaringan', 'nya', 'sangat', 'menggangu', 'saat', 'lagi', 'main', 'rank']","['tolong', 'baik', 'masalh', 'menggangu']","['tolong', 'di', 'baik', 'masalh', 'jaring', 'nya', 'sangat', 'menggangu', 'saat', 'lagi', 'main', 'rank']","['tolong', 'di', 'baik', 'masalh', 'jaring', 'nya', 'sangat', 'menggangu', 'saat', 'lagi', 'main', 'rank']",negative
Deswa 1234,gamenya bagus sekali tapi saya HP Samsung tapi saya HP Samsung Apakah kuat,,gamenya bagus sekali tapi saya hp samsung tapi saya hp samsung apakah kuat,"['gamenya', 'bagus', 'sekali', 'tapi', 'saya', 'hp', 'samsung', 'tapi', 'saya', 'hp', 'samsung', 'apakah', 'kuat']","['gamenya', 'bagus', 'sekali', 'tapi', 'saya', 'hp', 'samsung', 'tapi', 'saya', 'hp', 'samsung', 'apakah', 'kuat']","['bagus', 'samsung', 'samsung', 'apakah', 'kuat']","['gamenya', 'bagus', 'sekali', 'tapi', 'saya', 'hp', 'samsung', 'tapi', 'saya', 'hp', 'samsung', 'apakah', 'kuat']","['game', 'bagus', 'sekali', 'tapi', 'aku', 'hp', 'samsung', 'tapi', 'aku', 'hp', 'samsung', 'apakah', 'kuat']",positive
Reza Alvaro,game banyak bug ny jaringan nya rusak,11.1.1.4,game banyak bug ny jaringan nya rusak,"['game', 'banyak', 'bug', 'ny', 'jaringan', 'nya', 'rusak']","['game', 'banyak', 'bug', 'ny', 'jaringan', 'nya', 'rusak']","['banyak', 'bug', 'rusak']","['game', 'banyak', 'bug', 'ny', 'jaring', 'nya', 'rusak']","['game', 'banyak', 'bug', 'nya', 'jaring', 'nya', 'rusak']",negative
FAIDAH faidah,bagusss bgt ada hewan lucu pula di hok,,bagusss bgt ada hewan lucu pula di hok,"['bagusss', 'bgt', 'ada', 'hewan', 'lucu', 'pula', 'di', 'hok']","['bagus', 'bgt', 'ada', 'hewan', 'lucu', 'pula', 'di', 'hok']","['bagus', 'banget', 'hewan', 'lucu', 'pula']","['bagus', 'bgt', 'ada', 'hewan', 'lucu', 'pula', 'di', 'hok']","['bagus', 'banget', 'ada', 'hewan', 'lucu', 'pula', 'di', 'hok']",positive
Muhammad Yasir yahya Yasir,seru......,,seru......,"['seru', '......']",['seru'],['seru'],['seru'],['seru'],positive
Feriando Agis,sangat cocok bagi yg ls di mlbb 🥰🥰,11.1.1.4,sangat cocok bagi yg ls di mlbb 🥰🥰,"['sangat', 'cocok', 'bagi', 'yg', 'ls', 'di', 'mlbb', '🥰🥰']","['sangat', 'cocok', 'bagi', 'yg', 'ls', 'di', 'mlbb']","['cocok', 'bagi', 'ls']","['sangat', 'cocok', 'bagi', 'yg', 'ls', 'di', 'mlbb']","['sangat', 'cocok', 'bagi', 'yang', 'ls', 'di', 'mlbb']",positive
VANDER 7070,saya suka,,saya suka,"['saya', 'suka']","['saya', 'suka']",['suka'],"['saya', 'suka']","['aku', 'suka']",positive
Den Fik,"game lu udah ada cheater 2 x gue kena, di report tapi ga ke baca sistem, payah",11.1.1.1,"game lu udah ada cheater 2 x gue kena, di report tapi ga ke baca sistem, payah","['game', 'lu', 'udah', 'ada', 'cheater', '2', 'x', 'gue', 'kena', ',', 'di', 'report', 'tapi', 'ga', 'ke', 'baca', 'sistem', ',', 'payah']","['game', 'lu', 'udah', 'ada', 'cheater', 'x', 'gue', 'kena', 'di', 'report', 'tapi', 'ga', 'ke', 'baca', 'sistem', 'payah']","['cheater', 'kena', 'report', 'payah']","['game', 'lu', 'udah', 'ada', 'cheater', 'x', 'gue', 'kena', 'di', 'report', 'tapi', 'ga', 'ke', 'baca', 'sistem', 'payah']","['game', 'kamu', 'udah', 'ada', 'cheater', 'kali', 'aku', 'kena', 'di', 'report', 'tapi', 'tidak', 'ke', 'baca', 'sistem', 'payah']",negative
Alistha Rahmadhania,Game bagus dan menarik banget,,game bagus dan menarik banget,"['game', 'bagus', 'dan', 'menarik', 'banget']","['game', 'bagus', 'dan', 'menarik', 'banget']","['bagus', 'tarik', 'banget']","['game', 'bagus', 'dan', 'tarik', 'banget']","['game', 'bagus', 'dan', 'tarik', 'banget']",positive
Rifaldo28 Abian07,geme burik kasih bintangc 1 aj,11.1.1.4,geme burik kasih bintangc 1 aj,"['geme', 'burik', 'kasih', 'bintangc', '1', 'aj']","['geme', 'burik', 'kasih', 'bintangc', 'aj']","['buruk', 'bintangc']","['geme', 'burik', 'kasih', 'bintangc', 'aj']","['game', 'buruk', 'kasih', 'bintangc', 'aja']",negative
Vina Ruru,sekarang download data gak bisa pake wifi dulu bisa lancar aja,11.1.1.4,sekarang download data gak bisa pake wifi dulu bisa lancar aja,"['sekarang', 'download', 'data', 'gak', 'bisa', 'pake', 'wifi', 'dulu', 'bisa', 'lancar', 'aja']","['sekarang', 'download', 'data', 'gak', 'bisa', 'pake', 'wifi', 'dulu', 'bisa', 'lancar', 'aja']","['sekarang', 'wifi', 'lancar']","['sekarang', 'download', 'data', 'gak', 'bisa', 'pake', 'wifi', 'dulu', 'bisa', 'lancar', 'aja']","['sekarang', 'download', 'data', 'tidak', 'bisa', 'pakai', 'wifi', 'dulu', 'bisa', 'lancar', 'aja']",positive
Sahroni Oni,"sering bug padahal jaringan gak ada masalah, terus yang di hukum malam player nya game gak adil game Auh gelap",11.1.1.4,"sering bug padahal jaringan gak ada masalah, terus yang di hukum malam player nya game gak adil game auh gelap","['sering', 'bug', 'padahal', 'jaringan', 'gak', 'ada', 'masalah', ',', 'terus', 'yang', 'di', 'hukum', 'malam', 'player', 'nya', 'game', 'gak', 'adil', 'game', 'auh', 'gelap']","['sering', 'bug', 'padahal', 'jaringan', 'gak', 'ada', 'masalah', 'terus', 'yang', 'di', 'hukum', 'malam', 'player', 'nya', 'game', 'gak', 'adil', 'game', 'auh', 'gelap']","['bug', 'masalah', 'hukum', 'malam', 'adil', 'auh', 'gelap']","['sering', 'bug', 'padahal', 'jaring', 'gak', 'ada', 'masalah', 'terus', 'yang', 'di', 'hukum', 'malam', 'player', 'nya', 'game', 'gak', 'adil', 'game', 'auh', 'gelap']","['sering', 'bug', 'padahal', 'jaring', 'tidak', 'ada', 'masalah', 'terus', 'yang', 'di', 'hukum', 'malam', 'player', 'nya', 'game', 'tidak', 'adil', 'game', 'auh', 'gelap']",negative
el ply20,next,10.5.1.15,next,['next'],['next'],['next'],['next'],['next'],neutral
Awal 001,Nanti saya comeback Lgi !!,10.2.1.7,nanti saya comeback lgi !!,"['nanti', 'saya', 'comeback', 'lgi', '!', '!']","['nanti', 'saya', 'comeback', 'lgi']","['nanti', 'comeback', 'lgi']","['nanti', 'saya', 'comeback', 'lgi']","['nanti', 'aku', 'comeback', 'lgi']",neutral
Sylvester Nadek,sangat bagus,,sangat bagus,"['sangat', 'bagus']","['sangat', 'bagus']",['bagus'],"['sangat', 'bagus']","['sangat', 'bagus']",positive
Andrey,"Uninstall dulu jaringan(data) lag ketika war 5v5,",11.1.1.4,"uninstall dulu jaringan(data) lag ketika war 5v5,","['uninstall', 'dulu', 'jaringan', '(', 'data', ')', 'lag', 'ketika', 'war', '5v5', ',']","['uninstall', 'dulu', 'jaringan', 'data', 'lag', 'ketika', 'war', 'v']","['uninstall', 'lag', 'v']","['uninstall', 'dulu', 'jaring', 'data', 'lag', 'ketika', 'war', 'v']","['uninstall', 'dulu', 'jaring', 'data', 'lag', 'ketika', 'war', 'v']",negative
Ukiyo Ace,game team tolol,,game team tolol,"['game', 'team', 'tolol']","['game', 'team', 'tolol']",['tolol'],"['game', 'team', 'tolol']","['game', 'team', 'tolol']",negative
Idonk TRADER,game nya bagus grafiknya bagus tapi tolong hero yang boros mana bisa dikasih tidak ada mana nya ya tolong seperti lam tolong plisss,11.1.1.4,game nya bagus grafiknya bagus tapi tolong hero yang boros mana bisa dikasih tidak ada mana nya ya tolong seperti lam tolong plisss,"['game', 'nya', 'bagus', 'grafiknya', 'bagus', 'tapi', 'tolong', 'hero', 'yang', 'boros', 'mana', 'bisa', 'dikasih', 'tidak', 'ada', 'mana', 'nya', 'ya', 'tolong', 'seperti', 'lam', 'tolong', 'plisss']","['game', 'nya', 'bagus', 'grafiknya', 'bagus', 'tapi', 'tolong', 'hero', 'yang', 'boros', 'mana', 'bisa', 'dikasih', 'tidak', 'ada', 'mana', 'nya', 'ya', 'tolong', 'seperti', 'lam', 'tolong', 'plis']","['bagus', 'grafik', 'bagus', 'tolong', 'boros', 'mana', 'mana', 'tolong', 'lam', 'tolong']","['game', 'nya', 'bagus', 'grafik', 'bagus', 'tapi', 'tolong', 'hero', 'yang', 'boros', 'mana', 'bisa', 'kasih', 'tidak', 'ada', 'mana', 'nya', 'ya', 'tolong', 'seperti', 'lam', 'tolong', 'plis']","['game', 'nya', 'bagus', 'grafik', 'bagus', 'tapi', 'tolong', 'hero', 'yang', 'boros', 'mana', 'bisa', 'kasih', 'tidak', 'ada', 'mana', 'nya', 'ya', 'tolong', 'seperti', 'lam', 'tolong', 'plis']",positive
ujang maman,tolonglah untuk meringankan dihp kentang,10.2.1.3,tolonglah untuk meringankan dihp kentang,"['tolonglah', 'untuk', 'meringankan', 'dihp', 'kentang']","['tolonglah', 'untuk', 'meringankan', 'dihp', 'kentang']","['tolong', 'ringan', 'dihp', 'kentang']","['tolong', 'untuk', 'ringan', 'dihp', 'kentang']","['tolong', 'untuk', 'ringan', 'dihp', 'kentang']",neutral
Muh ferdi Herdiansyah,"Wah hero gratisnya dikit banget ya, tapi untung ada rotasi mingguan… kalau sempat main minggu depan 😹",,"wah hero gratisnya dikit banget ya, tapi untung ada rotasi mingguan… kalau sempat main minggu depan 😹","['wah', 'hero', 'gratisnya', 'dikit', 'banget', 'ya', ',', 'tapi', 'untung', 'ada', 'rotasi', 'mingguan…', 'kalau', 'sempat', 'main', 'minggu', 'depan', '😹']","['wah', 'hero', 'gratisnya', 'dikit', 'banget', 'ya', 'tapi', 'untung', 'ada', 'rotasi', 'mingguan', 'kalau', 'sempat', 'main', 'minggu', 'depan']","['wah', 'gratis', 'sedikit', 'banget', 'untung', 'rotasi', 'minggu', 'sempat', 'minggu']","['wah', 'hero', 'gratis', 'dikit', 'banget', 'ya', 'tapi', 'untung', 'ada', 'rotasi', 'minggu', 'kalau', 'sempat', 'main', 'minggu', 'depan']","['wah', 'hero', 'gratis', 'sedikit', 'banget', 'ya', 'tapi', 'untung', 'ada', 'rotasi', 'minggu', 'kalau', 'sempat', 'main', 'minggu', 'depan']",neutral
ahmad ryan,"Lawannya bot mulu bosen,tiap musuh nya kabur darah sekarat aku setengah tiba tiba ada temen nya banyakan lagi males Hok buriqqqqq",,"lawannya bot mulu bosen,tiap musuh nya kabur darah sekarat aku setengah tiba tiba ada temen nya banyakan lagi males hok buriqqqqq","['lawannya', 'bot', 'mulu', 'bosen', ',', 'tiap', 'musuh', 'nya', 'kabur', 'darah', 'sekarat', 'aku', 'setengah', 'tiba', 'tiba', 'ada', 'temen', 'nya', 'banyakan', 'lagi', 'males', 'hok', 'buriqqqqq']","['lawannya', 'bot', 'mulu', 'bosen', 'tiap', 'musuh', 'nya', 'kabur', 'darah', 'sekarat', 'aku', 'setengah', 'tiba', 'tiba', 'ada', 'temen', 'nya', 'banyakan', 'lagi', 'males', 'hok', 'buriq']","['lawan', 'bot', 'bosen', 'musuh', 'kabur', 'darah', 'sekarat', 'tengah', 'teman', 'banyak', 'males', 'buriq']","['lawan', 'bot', 'mulu', 'bosen', 'tiap', 'musuh', 'nya', 'kabur', 'darah', 'sekarat', 'aku', 'tengah', 'tiba', 'tiba', 'ada', 'temen', 'nya', 'banyak', 'lagi', 'males', 'hok', 'buriq']","['lawan', 'bot', 'mulu', 'bosen', 'tiap', 'musuh', 'nya', 'kabur', 'darah', 'sekarat', 'aku', 'tengah', 'tiba', 'tiba', 'ada', 'teman', 'nya', 'banyak', 'lagi', 'males', 'hok', 'buriq']",negative
Cikal Muslim,"game ta! ada event epik dr.bian,udh 30x gaca kga dapet"", kalo mau event jgn main sosial,mending login aja udh",11.1.1.4,"game ta! ada event epik dr.bian,udh 30x gaca kga dapet"", kalo mau event jgn main sosial,mending login aja udh","['game', 'ta', '!', 'ada', 'event', 'epik', 'dr.bian', ',', 'udh', '30x', 'gaca', 'kga', 'dapet', ""''"", ',', 'kalo', 'mau', 'event', 'jgn', 'main', 'sosial', ',', 'mending', 'login', 'aja', 'udh']","['game', 'ta', 'ada', 'event', 'epik', 'drbian', 'udh', 'x', 'gaca', 'kga', 'dapet', 'kalo', 'mau', 'event', 'jgn', 'main', 'sosial', 'mending', 'login', 'aja', 'udh']","['ta', 'event', 'epik', 'drbian', 'sudah', 'gaca', 'kga', 'event', 'jgn', 'sosial', 'mending', 'sudah']","['game', 'ta', 'ada', 'event', 'epik', 'drbian', 'udh', 'x', 'gaca', 'kga', 'dapet', 'kalo', 'mau', 'event', 'jgn', 'main', 'sosial', 'mending', 'login', 'aja', 'udh']","['game', 'ta', 'ada', 'event', 'epik', 'drbian', 'sudah', 'kali', 'gaca', 'kga', 'dapet', 'kalau', 'mau', 'event', 'jgn', 'main', 'sosial', 'mending', 'login', 'aja', 'sudah']",neutral
Muhammad Rifangga,"menurutku sih honor of kings butuh gambaran lore yang lebih jelas, sangat susah untuk memahami lore dari game ini karena game ini lebih berfokus pada gameplay, bahkan gambaran primeara pun tak tertulis jelas membuat kebanyakan pemian cukup kesusahan memahami lore, untuk kedepannya aku harap game ini bisa menggambarkan lore gamenya dengan lebih jelas seperti game moba lainnya.",11.1.1.4,"menurutku sih honor of kings butuh gambaran lore yang lebih jelas, sangat susah untuk memahami lore dari game ini karena game ini lebih berfokus pada gameplay, bahkan gambaran primeara pun tak tertulis jelas membuat kebanyakan pemian cukup kesusahan memahami lore, untuk kedepannya aku harap game ini bisa menggambarkan lore gamenya dengan lebih jelas seperti game moba lainnya.","['menurutku', 'sih', 'honor', 'of', 'kings', 'butuh', 'gambaran', 'lore', 'yang', 'lebih', 'jelas', ',', 'sangat', 'susah', 'untuk', 'memahami', 'lore', 'dari', 'game', 'ini', 'karena', 'game', 'ini', 'lebih', 'berfokus', 'pada', 'gameplay', ',', 'bahkan', 'gambaran', 'primeara', 'pun', 'tak', 'tertulis', 'jelas', 'membuat', 'kebanyakan', 'pemian', 'cukup', 'kesusahan', 'memahami', 'lore', ',', 'untuk', 'kedepannya', 'aku', 'harap', 'game', 'ini', 'bisa', 'menggambarkan', 'lore', 'gamenya', 'dengan', 'lebih', 'jelas', 'seperti', 'game', 'moba', 'lainnya', '.']","['menurutku', 'sih', 'honor', 'of', 'kings', 'butuh', 'gambaran', 'lore', 'yang', 'lebih', 'jelas', 'sangat', 'susah', 'untuk', 'memahami', 'lore', 'dari', 'game', 'ini', 'karena', 'game', 'ini', 'lebih', 'berfokus', 'pada', 'gameplay', 'bahkan', 'gambaran', 'primeara', 'pun', 'tak', 'tertulis', 'jelas', 'membuat', 'kebanyakan', 'pemian', 'cukup', 'kesusahan', 'memahami', 'lore', 'untuk', 'kedepannya', 'aku', 'harap', 'game', 'ini', 'bisa', 'menggambarkan', 'lore', 'gamenya', 'dengan', 'lebih', 'jelas', 'seperti', 'game', 'moba', 'lainnya']","['butuh', 'gambar', 'lore', 'lebih', 'jelas', 'susah', 'paham', 'lore', 'lebih', 'fokus', 'bahkan', 'gambar', 'primeara', 'tak', 'tulis', 'jelas', 'banyak', 'mi', 'cukup', 'susah', 'paham', 'lore', 'harap', 'gambar', 'lore', 'lebih', 'jelas', 'lain']","['turut', 'sih', 'honor', 'of', 'kings', 'butuh', 'gambar', 'lore', 'yang', 'lebih', 'jelas', 'sangat', 'susah', 'untuk', 'paham', 'lore', 'dari', 'game', 'ini', 'karena', 'game', 'ini', 'lebih', 'fokus', 'pada', 'gameplay', 'bahkan', 'gambar', 'primeara', 'pun', 'tak', 'tulis', 'jelas', 'buat', 'banyak', 'mi', 'cukup', 'susah', 'paham', 'lore', 'untuk', 'depan', 'aku', 'harap', 'game', 'ini', 'bisa', 'gambar', 'lore', 'gamenya', 'dengan', 'lebih', 'jelas', 'seperti', 'game', 'moba', 'lain']","['turut', 'sih', 'honor', 'of', 'kings', 'butuh', 'gambar', 'lore', 'yang', 'lebih', 'jelas', 'sangat', 'susah', 'untuk', 'paham', 'lore', 'dari', 'game', 'ini', 'karena', 'game', 'ini', 'lebih', 'fokus', 'pada', 'gameplay', 'bahkan', 'gambar', 'primeara', 'pun', 'tak', 'tulis', 'jelas', 'buat', 'banyak', 'mi', 'cukup', 'susah', 'paham', 'lore', 'untuk', 'depan', 'aku', 'harap', 'game', 'ini', 'bisa', 'gambar', 'lore', 'game', 'dengan', 'lebih', 'jelas', 'seperti', 'game', 'moba', 'lain']",neutral
