userName,content,label
Naila Aspi,game buruk pas update yng sekarang jadi buruk pas aku main offline juga gak bisa dan pass udah masuk ke game nya nah aku kan main terus aku pilih hero eh pas mulai ada tulisan gitu aku gak tau apa tapi pass aku pencet ok jadi mulai sendiri terus ngelag keluar sendiri lagi bisa di perbaiki pliss dan maaf aku rate cuma dua bintang ⭐⭐ perbaiki ya makasih maaf terlalu panjang,negative
rangga jaya,"moonton gblk ngasih team gaperna benerr,kasih gua mm anjg",negative
Agha Ramdani,untuk gamenya lumayan tapi kalau kita bisa ngendali Hero pasti seru dengan lawan (main computer maksud nya)dapat skin gratis la untuk sekali tapi rendom,neutral
Een Zurenie,game buruk banyak cheater...game tambah kesini tambah jelek...game kurang bagus...sengaja gak gue kasih bintang otw uninstal.,negative
Sultan bara,"match makingg ga adil massa gw honor ketemunya team nya sama legenda? dmna letak ke adilan nya, dri dlu smpee skrngg masih aja kya gth sistem nya aneh",negative
Nilam Ayuwiduri,mengibur,positive
Kampung Sampa,perbaikin lagi game terlalu delay+lag tiba tiba padalan jaringan bagus,negative
Fama Deni,"game bikin stresss ini bikin gua puyeng satu kali main ujung""nya losetreak trs",negative
Putra Tra 112,di epik di kasih nya tim itu yang bener lahh ml ey di benerin lagi dongg ke susahan jadinya kalah terus kedepan nya lebih baik aku kasih bintang satu dulu,negative
Desy puspita dwi Darmawati,"baguss bgtt, walaupun ngeleg gatau knp, padahal wifi udah bagus, dan buat kalian yang win 1x tapi kalah 2x atau lebih setelah win itu gara gara orang yang ada di tim kalian BOT ya, aku ga gitu kok, thanksss",neutral
Dirga Bakti,mooontoon kontollllllllllllo mememeeeekkkk,negative
Muhammad Adhar,game nya seru banget ☺,positive
Fatwa Fatwa,ubah solo rang,neutral
Diya ajha,suka banget seruuuuu,positive
Purwodadi Oke,makasih ya moonton telah teman nin aku 5+ tahun gua saatnya pergi untuk selamanya untuk game mu selamanya 😇🥰 i love you moonton bye2😊,neutral
Yuda,game nya seru,positive
Faiz_ Setryy,gg coo ml keren kaliiiiiiiii mantap lebih keren ml dari pada ff awokawokawok 😹,positive
Saha Weh,tolong dong kasih lawan yang setara kalo maen rank tuh,neutral
Ak z,game tolol,negative
Samsudin Udin,"benerin dulu tuh bug jaringan, jaringan hijau kok ngelag,",negative
fatih inara,maaf motoon inanilahi moonton mati gw mau pensi aj lah cpe naik trun naik trun bismilah montoon mti,negative
Tukir Heriyanto,min gw main ml lgi,negative
Annasji Annas,moonton tolol malah dpt musuh susah kasi ke sekali ws,negative
Rustandi Abdulloh,game apaan goblog pusing gua,negative
Sofian Tontro,sangat ramah player tidak sombong,negative
Iin Alam,lostrek mulu,negative
Armann 123,hadeh gem bayak drak sistem masak di rank legend ada epik gj jelas gua udah lus 14 kali😡😡😡😡,negative
Irfan 100,baguss,positive
GHANI HAMIDI,mantap sakuramba,positive
Diyono 123,pilih kasih anjg,negative
Siddiq Alfiyanto Adjie Wibowo,"padahal sinyal bagus dan hp juga standart buat game, tapi kenapa masih sering lag? akibatnya terhitung afk pada saat rank, merugikan. main game buat nyari senang, tapi malah dibuat stress sama moonton!!!",negative
Muhammad ardian,gw kalah Mulu gara gara moonton di kasih yang jago Bae musuh nya malah di gw drack system semua tim nya,negative
Naga Bonar,game ini tidak adil,positive
Sandy Joko,seru banget,positive
Angga Farrass,"game nya bagus,aku suka,buat kalian makanya jgn bot,udh kg bs main di download dongoo",positive
Wija toyiby,"susah banget masuk nya, makin berat game nya",negative
Violita Anggraeni,kalah menang sudah biasa tapi kalah tanpa progress itu menyebalkan baru kali ini season sekarang mengalami hal ini moonton your drak sistem in game,negative
Nailah,saya sangat menyukai game ini,positive
Reti Nurbaeti,ML itu seru juga menyenangkan enak dimainin ya aku ingin mau main ML lagi setiap hari ML itu sangat seru banget aku ingin memainkannya setiap hari dengan teman-temanku ML sangat seru seru seru seru seru seru seru banget tidak ada yang lebih seru dari ML itu kita akan memainkan ML saya tuh pakai Hero Hero apa ya Sonia Hero sun aku pakai Hero sun ya guys jadi kita harus memainkan ML setiap hari tidak usah 🏫 ya teman-teman saya nggak ada yang lebih seru lagi main hujan-hujanan dimarahin Tuhan .,positive
ERWIN SATRIA,game kont0l,negative
Ayaa,"game cuma fokus ke event tanpa ada pengoptimalan dan juga perubahan sistem, UI cacat yg beneran hanya fokus penjualan merchandise sama event kikir",negative
Robby Orlando,apa lah stuck 30% mulu gw perbaiki lah orang2 jg sama kek nya loh,neutral
Aldous butarbutar,gem ngga guna ngga pernah ngasih tim yg bangus,negative
Riski Anugrah,sinyal gua bagus malah ga bisa gerak ngentod lu niat buat game ga sih,negative
Teare Moana,game nya seru tapi banyak sekali dark sytem ketika saya 1 bintang lagi naik ke legen malah di kasih tim poke sama musuh nya top global-penjoki,negative
Jundet Low,jembut,negative
Awal Udin,MONTOON ANJINGGG,negative
Rizki Nugraha,"kebanyakan update sinyal server ga ke urus, padahal sinyal bagus tapi lag",neutral
Atikaazahrarafifa Tika,baguss,positive
Wk Wkwk,"game yang sangat bagus sekali walaupun sering ngelag+ketemu tim dark sistem di situlah saya belajar toxic dari game ini, makasih buat developer game ini, makanya kasih gua dm 5000000000000 yah sama"" hanya ini yang bisa saya sampaikan assalamu'alaikum warahmatullahi wabarakatuh 😇🙏😘",positive
Alqaidayostin,gamenya si seru tp knpa beberapa hari ini jaringannya parah bgt pdhl jaringan saya bagus tp giliran main ml langsung parah bgt pdhl sebelumnya gprnh saya bermasalah soal jaringan klo lg main ml,negative
Akun Terakhir,Sangat tidak di rekomendasi untuk main solo ya 🗿ton kurangi dark sistem 🗿,neutral
Pak Dowi,"pertama terimakasih telah menciptakan game epic ini 👍, dan aku memberi saran dan tolong ini di benahi lagi ya, saya minta tolong dengan sangat ini di benahi penyetaraan matching, ini sangat saya garis bawahi karena kalau main itu sungguh sangat tidak setara, apalagi kalau classic masak lagend dapetnya team masih pangkat warior kan nggak masuk akal sama sekali, itu aku mohon dengan sangat untuk di benahi lagi, ya kalau soal rank ya begitulah aku sudah maklum, tapi kalo classic ya itu berlebihan",neutral
Shirokuma,sistem matchmaking selalu gak adil dimana musuh terlalu jago dan tim saya masih pemula.,neutral
Mutasor Mas,ketemu tim bot Mulu,negative
Nafila Nafsa,"minimal kalo ngasih musuh ama tim sendiri yang seimbang laa,apa inii tim sendiri main gabisaa tapi tim lawan di kasih yang jago gimana mau menang",neutral
Ratna Cute,gem inih bagus,positive
Amar Rusli,bermain mobile legends sangat seruu,positive
Dewiaja,sangat baik,positive
Muh Reyhan,game kotol lose lose Mulu semoga ceper mati lu nonton,negative
m_syihab,game tai,negative
Angga Arga Dinata,Bantu lah sistemnya....,negative
Fikri Firdaus,tolong di perbaiki system nya,neutral
Kage,gamenya bagus Ampe rata-rata playernya SDM nya pada turun 😌,negative
bilal Alfarizki,wah gamenya keren banget ada ruang clasik brawel arkade dan tang jadi aku kasing bintang lima dan musuhnya botsemua padaha tang aku epik kenapa musuhnya bot,neutral
Sulasto Lutfi,monton babi selalu kasih tim sampah,negative
Tamprin Riyadi,hampir semuah player ml dark sistem kecewa saya,negative
Iyan Dwi,"jaringannya benerin dong , game rusak",negative
Yandi Ramdani,kenapa sih moonton selalu kasih tim bot Mulu capek,negative
RIZKI MAUL,game bagong,negative
Nirwana Nirwana,drak sistem banyak,negative
Juli,kebanyakan darksistem. n sering leg,negative
Feni alvionita,"Ml skrng jaringannya suka lag, pdahl bukak apk yg lain lancar²aja!!",negative
Iqbal Iqromi,game nya bagus tapi setiap login semua dowlodtannya selalu hilang padahal hanya ditinggal sekolah SMP aja udah hilang mohon diperbaiki ya semoga di perhatikan segitu aja mohon kerja sama nya🙏,negative
Uum Umyanah,main nya seru GK ada iklann skin nya banyakk ada Lukas zilong dan lain lain,positive
Rizal Lipek,jaringan makin ancor.... sering laq sekrang...padahal jaringan hp gw bagus,negative
Ramli Joker,makin hari Makin buruk setiap main selalu Ngelag Gamenya mulai bikin jengkel,negative
Muhammad Fauzan Hafian,kenapa pas main padahal team atau musuh pake skin tapi pas gameplay malah gak keliatan pake skin gaje ml sekarang,negative
Bayu Pamungkas,game gak jelas sinyal 4G kok bisa2 nya ngeleg dalem game game ampas,negative
Rizky Raditya,"game Kon**ol,Anjg nge lag parah c*k",negative
Ade Irawan,game nya lumayan bagus tapi gak tipe aku banget jadi aku kasih rating 4 lebih enakan ini daripada honor of king dari segi gamplay bagus,neutral
Linda Inda,dikasih tim draksistem Mulu,negative
Fakhri Muzaky,game gak jelas tim nya drak sistem semua gua mulu yang gendong,negative
Moch Zainuddin Jp,sering ilang signal,negative
Theo Valendro,woy monton lu kenapa sih makin hari makin ngeleg sinyal gua pdhal kouta gua byk sinyal gua hijau tapi kenapa sering lag? #skin perbanyak leg di biarin,negative
Aiman,Game nya seru saya baru main dan game nya seru buat main sama temen cuma saya punya keluhan masa saya tadi sesudah main di chat yatim sama orang random. semoga player nya ramah semua 🙏,neutral
anugrah febri,season sekarang ngaco..sering kali pas war auto ngelag pdhl sinyal wifi dan hp aman.alhasil jd sering kalah..match making jg kacau.sll dpt team troll mulu,negative
Yoga Pratama,"MACTHMAKING NYA BUSUK, GAK JELAS BANGET, YANG BEBAN DI REPORT GK BISA, SEDANGKAN YANG MAIN SUNGGUH SUNGGUH MALAH KENAK REPORT, ANEH, UDAH DI MTYHIC KE ATAS MASIH AJA ANEH, ORANG ORANG NYA ANEH, ATURAN GAME NYA ANEH , MENDING UNINSTAL AJA",negative
Riandi Rian,gem ini sangat bagus,positive
Habidinata Kusuma,gemmm baguss bget ramh pppk,positive
Muhammad Ihsan,sinyal hijau tapi ngelag sampe afk,negative
rehan.n Kasep,mobile legends sekarang suka ngeleg gajelas jaringan bagus juga ngeleg sendiri knapa yaaa,negative
black shadow,"GAME SAMPAH! sistem ga jelas, match making berantakan. Bisa ngatur sistem ga lu? UDAH KIKIR, BUSUK LAGI.",negative
Dolores Welman (Oiss),moonton parah gue kena kredit skor gk bs main ranked cma gara gara jaringan ini kekurangan moonton gk bs sperti game lain biar jaringan pas pas bisa main lancar mending pindah ke honor of king aja,negative
Ojik Rozi,bagus,positive
Radity Surantama,geme nya ngomong nya tosix gak sopan kasihan anak anak di bawah umur. geme apa lah ini udah di bilang mundur gak mau mundur lostreek Mulu geme ini kualitas nya GK bagus mending main geme lain aj dari pada geme mati suri,negative
Muhammad Rijak,"masa iya saya solo ketemu trio,udah gitu tim cuman duo.yg seimbang lah",negative
Lonely,kalah terus padahal mau naik legend.monton monton gw kecewa sama ini game,negative
Faiqotul Husna,gem berik yg ma en tolol semua,negative
Nurul Wahidah,lumayan,positive
Ahmad Safi'i,game bento banyak bot,negative
Afif Amrullah,ehh poke kalo punya apk tuh jaringan ny di perbaharui update tan kali ini bener2 bikin emosi aja masak ping stabil game ny nge fress kwk jaringan nge laq aja game laku kok lalai update jaringan ny,negative
Haikal Kamil,aneh sekarang pas mulai mact ada tulisan reconet sinyal bagus padahal winstrake gw jadi hancur gara gara ini haduh mohon perhatianya,negative
abang Fatih,"Akhir"" ini sering bug gak jelas dari awal sampe late game gak bisa di mainin padahal jaringan lancar suka tiba lag ini sungguh gak masuk di akal, tolonglah montoon di perbaiki!!!",negative
PITT BE,coba tambahin fitur ngirim battle poin biar bisa ngirim ke temen,neutral
Rio Kadek,game yg sangat bagus dan keren tim nya bagus bagus ke balikan nya tapi game jembut game burik burik,neutral
Alfandy Syakur,Ml makin kesini makin gk jelas. masalah jaringan itu jdi jelek banget. Padahal jaringan stabil tapi suka lag tiba tiba.jadi makin males main nya. Update makin gede mb tapi game gk diperbaiki montoon udh gak waras,negative
Rezky Pratama,waw seru,positive
Satria,mantap bagus banget udah bisa ws Alhamdulillah,positive
mailphone,bagussihh tapi tolong drak sistem di hapus,positive
hasrida 1985,gua Sukak sekali ml karena gua user franko sekali tarikan maut langsung kena lord,positive
Fahri Df,"game sedot jaringan.. makin hari makin jelek.. game nya makin buruk.. jaringan full tapi masih nge leq.. bnyak x bug nya,, game ini",negative
Acan Beres,semoga bagus,positive
Kadek Putra,game burik banyak draksistem ini adalah game burik yang pernah ada,negative
NyoXezz,ini game makin lama makin anj. aja. jaringan bagus stabil tiba² gabisa gerak heronya. giliran di pencet mau bilang jaringan buruk yg muncul jaringan bagus/stabil. matchmaking gak jelas. kitanya main solo musuhnya party. Pas war posisi menang tiba² menghubungkan ulang. padahal make kuota data,negative
Muhammad Abdul Alfaqih,benerin dulu bug nya gue afk udah 3 kali bodo,negative
Rohyati,bagus banget bos,positive
Greesel.,"Game yg sangat mengerikan gs.. jangn coba"" download ya adik"" soal nya klo mainnin game ini selama sebulan atau lebih, bisa membuat kita masuk rumah sakit jiwa / setress klo yang udah download game ini selebihnya habus aja gak baik buat kesehatan/mental...😈👿",negative
X8_ MUHAMMAD TAUFIK,"hadeuh main game ini orang mah bikin seru malah di bikin stres ga wortit banget, apalgi moonton sengaja bet kasi tim drak sistem drak sistem melulu, di tambah lagi sinyalnya bagus malah ngelek ngelek",negative
Ļőęņģķ_şýãh,"makin sering update jadi sering ngelag gak enak kayaknya game ini khusus orang yang kaya kaya aja kalo gak kaya mending ga usah main, kalo maksa main yaudah awas darah tinggi bubarin aja gamenya todddd🤭🤫",negative
Fitri Ramadhani,"sangat seru, dan bisa cari teman / pacar 💞",positive
Supendi,seru,positive
Domzz Stay,Semoga kesabaran yang tinggi menyertai kita semua - Domzz Stay ~,neutral
Malaki Tauhid,seru gw udah epic semoga bisa main di onic,positive
Amelia Nurohmah,"lovyu muntun, akun ku bisa balik karna tim cs nya bgus bgt bgt bgt. lovyu muntun 😘🥰😍💖💗💞💓💕",positive
Fikri dupank,"jangan main gem ini guys,gem haram isinya drak sistem,gw selalu kalah pas main,emang moonton ga adil,gw scak di epic gegera drak sistem,tolong pisahin lah drag sistem nya,gem kikirr,bikin emosi,bukannya ngilangin stress malah tambah stress,gem haram kikirrr,di kasih tim yg poke,ga adil,padahal gw mau ngepus sampai imo,tapi kenyataan nya malah kalah mulu,moonton haram,tolong di notis,mending main gem free fire dari pada ml,lose treak terus,gw cape di epic terus,tolong moonton kasih tim yg bagus",negative
abid firmansyah,"katanya game mobile legends kok nggk ada mobilnya kok aplikasi ini nggk bisa didonwloadya mungkin karena hp ku nokia,tapi seharusnya bisa lah hehe",neutral
Arya Muazam Hidayat,tim nya tidak bisa berkontribusi dan playernya toxic trs dan juga aku main pake wifi ngelag padahal aku scroll yt sama tiktok ga ngelag,negative
Wati Masdelina Hutabarat,game semakin gak jelas fitur Lane yang meresahkan ditambah player nya makin banyak draksistem dan adalagi bila bintang 24 ketemu player trol sistem monton makin kesini makin kek bb,negative
raflesia hana,"GAME APA INI NAJIS, JARINGAN BUG LOL, BIKIN ORANG EMOSI, BENERIN NIH JARINGAN, DI ML DOANG JARINGAN BUG, BUKA APLIKASI LAIN LANCAR JAYA, KOCAK",negative
Puji Wirawan,"Gonta ganti provider buat main clasic aja super lag, niat cari hiburan malah bikin emosi UNINSTALL LAH MALES",negative
Sumiati Sumi,kalau lagi war tiba tiba jaringan merah. padahal jaringan bgs kalau main classic bagus aja. pas war tiba tiba kacau. untuk skrng mobile legend tidak bagus,neutral
Padli Aryansah,hello Justin Yuan and Watson xu zhenhua I will never read the letter of Al Jabar to you I'm already hurt by you so congratulations on what will happen to the pain that is why,neutral
Nining Karningsih,kece badai,positive
Syahri Ramadhan,"kalau ngasi temen tu yang bener, gausah kawan epik lawan glory. itu seimbangkan namanya? menang 1x kalah Sampek 7 kali. harus seimbang lah kawan sama lawan cuihh",negative
Lanjar Dani12,sip sangat bagus,positive
Alil,Kadang kadang Gamenya Bikin Emosi🗿🗿🗿,negative
Riki Maulan,seru,positive
Efi Damayanti,lumayan tapi game nya agak agak ngelek,neutral
Yum Roh,bjirr baru main 2 bulan udah epic,neutral
Al khalifi,ygy donlowd hok aja di game perusak mentaly ini atau ml saling ngejek lah toxic lah recal lah hok ramah klo klo di hok kita dikill musuh lansung lanjut cril lagi player ml mah ngetik klo kita dikill musuh di ml di omongin main pou aja lah apalah recal2 lah hok aja ygy jgn di donlowd game banke emang tolol lu idiot montod,negative
M Syah,"aku main 2 win 2 lose gitu terus sampai setres gue , sekarang game nya sudah ku hapus , malah buat setres",negative
Indonesian Master chef,game burik main sinyal nya bagus pas main lag lag riport moonton game udh bagus tp sinyalnya Cok dicek udh bagus tp kok abang ya 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,negative
Hitori- Gotoh,Ayolah Moonton Benerin Dulu Engine/sistem nya,negative
PapapRifky88,"naon tuh game naon, Minion aing kalah g nyerang base aing, tolol Minion kanker s1900",negative
Zuria yolanda,ml memng mantap tidak membuat bosan,positive
Vanya Galuh,game nya bagus dan seru banget buruan cobain.,positive
Agus Sufyana,"ngasih tim nya gak adil , rasanya ingin pensi",neutral
Vierzha168,game macam apa ini seru banget,positive
Sahhala Aqiqah,bagus,positive
iwan sadida,Game ini bagus bangett,positive
Riky Fardiansyah,Game nya bagus untuk usia 18+ dan terbaik,positive
Muhammad Rijal Muttaqin,muak gw daritadi sengaja dibuat kalah mulu ama sistem,neutral
muhamad arif,"Tolong di notice, saya memiliki masukan Untuk mode bermain, coba tambah kan mode brawl rank supaya yang bermain brawl termasuk saya menjadi semangat lagi untuk bermain mobile legend",neutral
Pan CORAN,mending game lain... matchmakingnya curang,neutral
Ajam Udin,"cocok bintang satu,game ws 9,ls 2",neutral
HD Saber,[pengalaman menyenangkan bermain mlbb game sangat bagus hero diinspirasi dari tokoh-tokoh nasional atau terkenal dari negara yang berbeda tema gamenya juga sangat menarik dan saya mendukung ini agar game mlbb terus berkembang melonjak drastis karena ini sudah termasuk salah satu game favorit saya dan telah menjadi pengalaman virtual menyenangkan dan saya senang karena selalu ada hero yang di buff+ dan ada yang di nerf- dan ada juga yang di penyesuaian membuat game play player menjadi seimbang]•,positive
kadita userstar,kadita butuh skin epic dan zenith! kadita X Ariel cocok jadi zenith!!!,neutral
Hery Andjerry,permainan terbaik di dunia,positive
Aden slot,moonton pliss lah moonton ini perbaiki lagi masa ie gua udah lezen 2 jadi ke epic gara gara punya tim ga guna drak sistem aduhhh moonton,neutral
Geo Muelia,gem nya bagus,positive
khoirul nur sani,"Tolong matchmaking nya di bikin seimbang sering kali bertemu player yang main troll dan sering afk, bikin lah matchmaking yang sesuai sama player, kalo gini mending main hok",neutral
saya geng,bagus,positive
Rudy Ardiansyah,udah beberapa hari maen dapet tim ga seimbang + AFK,neutral
Arga Maulana,game susah2 gampang...🙏,positive
Your Boys,pls kasih fitur bagi koin ke teman,neutral
Akane,"Game apaan ini! matchmaking nya bener² ancur di season ini, masa gua yang full solo ketemu duo, trio, party. kocak ni game, niat happy fun malah emosi. saran gua mending hapus aja ni game dri hp kalean!",neutral
Restu Maulana,"tolong moonton data skin dalam pertandingan itu gede banget, tolong bikin biar bisa dihapus sama data² lain yg ga berguna biar bisa dihapus... berat banget game nya giliran afk dikasih sanksi kocak, padahal salah game nya gada keringanan buat player hp kentang",negative
Suteza Teza,makin mantap,positive
Bere Gultom,"kira kira luh kurangin kredit skor, afk sebentar 4 kurang. admin lol",neutral
Yani ismayanti,game ini sangat bisa menemani waktu sepi ku:(,neutral
Dimas Amirudin,game ng bagus cuma bikin tensi naik,neutral
ipan Maulana,bangus permainan nya sip,positive
Hilmi Vairus,kebanyakan player tidak ramah dan mengintimidasi pada player yang rank nya lebih rendah😐,neutral
Montuh Paul,bagus,positive
Fitra Azka,"bagus banget,i like it",positive
Asyifa Syahla,game nya sangat bagus,positive
Arka Kecil,bagus sakali tapi heronya pada engak menarik tolong minta Hero yang gak ada konter,neutral
matthew matoi,karena bagus tidak ada hal orang dewasa,positive
Fanlie Wu,"Setelah kuliah baru ikutan maen ML, Rame sih 😂.. pengisi Waktu kosong",neutral
Dani,kalo ngasih team yg bener lahhh monton!!!,neutral
Ngibad Ahmad Rifkhul,"woyy montoon, kenapa ml gw gabisa di bukak, padahal jaringan bagus",neutral
Ema Junita,Bagus,positive
2021craft Jo cxfk,gamenya bagus tapi kurangin drak sistemnya,positive
Kadek Suwidia,"gk adil,,game banyak beban",neutral
Azka Barra,bagus bet makasih monton telah buat game sebagus ini,positive
Vera Seftian,bagus banget aku suka game ini,positive
Jamet Keceya,bagussssssddddds,positive
Gameplay Play,"pesan buat moonton, tolonglah lh moonton di kasih keringanan buat kami yang, main di hp kentang dan jauh di pelosok², kami pengen juga main dengan nyaman, sering saya alami ketika bermain saat war terutama saat bertarung sama lawan tiba tiba saya mengalami ngelek jaringan langsung merah gk stabil, pertanyaan nya kenapa harus pas ad musuh, pas bertarung baru jaringan nya tidak bagus, sebelum nya bagus bagus aj, kenapa moonton, tolong ya ke pada moonton tolong di kasi keringanan lh kepada kami",neutral
Aldi Nugraha,sangat bagus,positive
Win Bomer,terbaik,positive
PawPaw,♡♡♡ i love this game for not having AI animation for their trailer ♡♡♡ pls dont change. ♡♡♡♡♡,positive
Achmad,"jangan main gem ini akan mengakibatkan ,stres,jarak makan,jarang sholat,dan lebih parah akn mengakibatkan marah-marah",neutral
Lena Rin,gem ini tidak seru gemburik,neutral
Hakim Dongk,buat have fun aja,neutral
Oppo Pulokulon,gemnya remayan seru,positive
Bandet Ae,game nya sangat seru tp tolong dong moonton draksistemnya di kurangin sya saat main selalu dpt tim TOLOL dan tb2 jaringan ngelek pdhl jaringanku gk ngelek mohon dibaca muntun kurangin tim yang TOLOL hehh...,positive
Hasbi Bre,kalok bisa saya mau wins treak ya moonton,positive
Abimanyu,menghibur,positive
Sheriha Risa,senang,positive
dede apriyana,sangat kerennnnnnnnnnnnnnn,positive
Khulafa Sulbi,game yang bagus,positive
Sudarto Darto,Enak dimain,positive
Salman Aljafari,seru pokok nya,positive
GENJI Pratama,Game nya bagus😍,positive
Daffa Hafiz,sangat bagus hd nya cakep dan heronya bagus terutama obsidia,positive
Reza Kurniadi,seruu,positive
Muhammad Hadikusuma,"gamenya sih keren & bagus tpi ada sedikit kekurangan yaitu ngelag + jaringannya padahal udah stabil,kami harap moonton menanggapi ulasan ini dan untuk memperbaiki gamenya 🙏",positive
Jeo Nando,Gem nya bagus ku reting bintang 5,positive
Nikky Valentino,Bagu gw yang,positive
Routed et,gem nya keren banget,positive
Ines Do carmo soares afonso,game nya bagus sekali,positive
Berti,bgus,positive
Darma Aji,game nya bagus tapi kadang² ada permasalahan di jaringan tapi itu tidak apa² dan game ini seru bisa membuat kesal tapi bisa membuat senang juga😁,positive
Vincent Karl,skin nya bagus,positive
Keynu Deska,"game bagus sekali pertahanan menara,tanpa koneksi jaringan pokoknya bagus deh",positive
M JAMALUDDIN,GK seru game nya banyak lag,positive
Fadil Gg,bagus,positive
For_fc26,"padahal jaringan gw bagus"" aja tapi pas di game ngelag jir",positive
Dewi Kirana,sangat seru,positive
Moizes Soares10,game nya bagus banget tapi sinyal nya di perbaiki dulu😪,positive
Otaku Games,MATCHING YANG BENER LA KASIH TEAM GK ADA YANG JELAS MAINNYA MOONTON,positive
Farrel Dwi,oke,positive
Alan Fendores,saya menyukainya,positive
gunz 08,keran dan Saya suka,positive
Rendi Kancai,game bagus,positive
Uncu Dayat,"𝐚𝐩𝐥𝐢𝐤𝐚𝐬𝐢 𝐠𝐚𝐦𝐞 𝐛𝐞𝐫𝐭𝐚𝐫𝐮𝐧𝐠 𝐦𝐞𝐧𝐠𝐠𝐮𝐧𝐚𝐤𝐚𝐧 𝐤𝐞𝐤𝐨𝐦𝐩𝐚𝐤𝐚𝐧 𝐭𝐞𝐦𝐚𝐧 𝐫𝐞𝐤𝐚𝐧 𝐬𝐚𝐭𝐮 𝐭𝐢𝐦 𝐚𝐬𝐢𝐤, game favorit saya...",positive
SEPTIO GEMING,Sangat seru game iy untuk saya,positive
FRIDAY WEGA ADY RIONALDO,bagus,positive
Bayu Lesmana,game tidak adil bagi player,positive
Fikri aja,bagus,positive
