userName,content,label
Jon Lengkong,game yang tidak adil,positive
Farid Mauludi sya'ban,akun gua kena hack,negative
Haykal Rozi90,seru,positive
Sirpan Deni N,kenapa pas saya main mental keluar sendiri dan masuk yah lama itu udah ke masuk afk gak segaja dan itu setiap hari,negative
Secon Civiel,GAME CACAT . lawan bot terus teman pun bot . gameplay pun rusak . UNINSTAL,negative
Hanns 784,game ini bagus cuman kurang adil pada bagian akhir match kda seakan kurang berarti,negative
Sesilia samaria Duha,karna game ini mirip dengan mobil legend,neutral
Fito Alamsyah,player nya berkata kata kasa saat login lancar dan saat main tapi kalo gak sengaya keluar lowding nya lama bet,negative
Pahri Aldiansyah faz,tetep aja udah diamon masih aja ada drak sistemnya pusing ah,negative
Oktagaram Oktagaram,apa hok jarigan nya tidak stabil game banyak bug soryy rerting bintang satu iya,negative
Suradi Cerm,"pernah mencoba baguss, ini nyoba lagi",positive
Rifki syahputra Massa,gg honor of kings itu game nya seru dan bagus hero hero nya lagi apa lagi gratis,positive
Rehan han,"Semoga kamu ga ngecewain gw, jangan kaya game mole sebelah",negative
Alif Setiawan,game nya bagus gak kayak ML(trash) yg makin update makin jelek🤣🤣,negative
Yen' nan,"dari semua game yang saya coba cuma game ini doang yang jaringanya tidak ada kepastian artinya lag terus menerus, Wi-Fi lancar, sinyal full oke masih ajha lag, seakan-akan belum memadai di mainkan di server global, sekian Terimakasih.., saya gk mau hal lain tentang kepuasan bermain, tapi kenyamanan bermain itu yang paling utama, mohon kerja samanya, benerin sinyal atau apalah itu, jika tidak, tolong periksa otomatis sebagian player mungkin ada yang mengunakan Plung-in dll..... 🤡🤡🤡",negative
Andika Nur,lebih keren dari mlbb,positive
Rahman Abdul,"gem nya ga jelas udh dua kali ku download tapi tetap ga tersimpan. taik lah buang data aja.. babi. baru beli paket 9,9 GB tadi sore main satu jam hbs tinggal paket Yutop Gilak parah kali gem ini makan data nya.",negative
Userpower,"Season sekarang kenapa nge lag min, game lain aman padahal, main hok doang pas ingame nge lag, males banget, udah main dari server Brazil, baru kali ini nge lag gini, bukan saya sendiri aja loh",negative
Ronggo Warsito,ok,positive
Dewi Aini,animasi kurah hidup tpi bagus,positive
Rendy- kun,sinyal kenapa jelek terus,negative
Azkia Julia,bagus dan seru,positive
IJAT ICA Icak,keren,positive
Dalfa,"game nya padahal di update sebelum nya normal normal aja, padahal penyimpanan masih gede banget sekitar 100 gban",negative
Heri Ardiyansyah,game nya jelek,negative
Jumari GPPK,"gamenya jadul banget terus sama kayak ML, burik lagi",negative
Zet Zetlah,cuman hero nya di perbaiki,positive
Rijal Masruri. M,game moba android terbaik,positive
Rafael Agustino,sss tier moba paling niat,neutral
Pes Eza,my little soda pop,neutral
Nur Jaya,keren,positive
Ugan Suganda,"lumayan seru,cuma gue ga ngerti itemnya maka dari itu gw kasih bintang 3",positive
stok epep 450,"Di perbaiki lagi tier atas bnyak dark systemnya, ketemu sama player asing yg anehh gameplaynya",negative
Sinar Deli,"gw kecanduan banget main ini game moba satu walaupun hp kecolong, pake Samsung J7 pun jadi lah biarin yg penting kompatibel",positive
Puan maharani,bagus,positive
Miru Gaming,"sistem reportnya makin jelek semenjak pake gimmick AI, ngetroll dan nyuri lane ga kena",negative
ERIK SANTOSO,timya bloon,negative
Wringinanom Aja,inimudah,positive
Bagus Saputra,game yang sangat mengapresiasi player nya dan banyak skin gratisannya bukan skin basic atau elif bahkan legend dan epic njir laa game sebelah mana bisa paling ngasih skin nya basic doang awok2,positive
jamal Stl,"hallo dev, saya edit ulasan saya. ada sedikit keluhan yang masih membuat saya agak bingung soal matchmaking yang gak seimbang , saya menemukan sering push rank musuh lebih tinggi tiernya ketimbang tim saya, alhasil, keseringan defeat ketimbang win.. itu saja sih, semoga kedepannya pencarian pemainnya bisa seimbang dengan tier masing2, sukses trus buat tencent",negative
Putiah Sri,"selalu mendapatkan tim yang jelek, jarang banget dapet tim yang bagus",negative
Edi Abqa,niruin game ml,negative
fadli Fadliminimax1467,Good game,positive
Abdul (Karim),"Tolong update karena versi saat ini lag banget, kayaknya semenjak adanya spriteling itu jadi tambah lag",negative
Wildan Wildan,"bagus jugaa,gw sukaa",positive
Rafi Gibran,"main berhari-hari kalah terus, rank ngestack game sampah, mending balik ke ml, disini match nya nggak adil",negative
Lalu Sopan Sopian,game yang menarik dan luar biasa.,neutral
Rahmad_bagus Ramdhani,bag jaringan mulu mau pakai wifi atau pakai jaringan padahal jaringan bagus bagus aja kok gak nyaman buat mainnya tolong dong benerin,negative
Anis Sulistyorini,sangat seru dan tidak ngelag,neutral
Arka Ausy,bang tepati janji mu katanya banyak skin gratis ini kok cuma di kasi 4 skin udah itu banyak yang jarak jauh udah liat iklan nya banyak skin gratis emang bajingngan😡,negative
Acel Dowa,mantap,positive
Jan Soksuci,feel dalam game ini kurang berasa sehingga saya tidak merasa enjoyble dalam bermain,neutral
Abdan Khairi,game kurang bagus baru mau main sudah bikin hp aku patah patah padahal hp ku bagus Lo dan jaringan bagus tapi malah ngeleg terus dan patah patah gak kocak emang,negative
muhammad fauzan,MAIN DAPAT TIM BOOT MENANG SEKALI AJA GAK PERNAH PAYAH SISTEM MATCH GAK IMBANG 👎,negative
Attaupik Opik,ini geme yg bagus dan seru,positive
Dexter,please make the matchmaking fairer,neutral
Mjp Mjp,bagus banget mana ada mode offline!,positive
adi sanjaya,"SISTEM PENILAIAN DAN HUKUMAN YANG TIDAK MASUK AKAL,FORCE CLOSE DAN SIGNAL TOWING",negative
Aryo Dug,"gw kasih bintang 1,udah lama gak main dan pengen main lagi,dan pas gw mau login akun gw hilang padahal akun google gw masih ada dan gw ingat nyambungin nya kemana,agak kesal padahal akun nya udah keren.level infinity gak bisa jaga signature nya.buat kalian yang mau main ini game harus main terus kek nya,dan kalian yang mau pensi kek nya haru pensi habis kapan perlu hapus akun game nya,agak nyesel gw udah pernah main game nya,sumpah mau muak gimana lah.",negative
Muh fahrul Fahrul,saya heran dengan game ini lawannya terlalu kuat dan demage lawan terlalu tinggi satu serangan langsung mati,negative
ZTime Ft ᴋᴜʀᴜᴍɪ,Berat banget UI nya FC mulu terus klo main jaringannya belum optimal,negative
Akun semua semua,"ok matsmeking udh bagus , tanks respon cepet ,lajutkan mets meking yang adil 5vs5 , jan kek game sebelah , skin doang di bayakin metsmeking ancur , gw kasih 5 bintang untuk metsmeking ya",neutral
Lux Nether,Tencent ini kok HOK ku bermasalah yahh nge lag sendiri padahal ping nya hijau truss nge crash udh gtu langsung ke kluar dri gamenya sendiri udh ku turunin grafik tpi ttep masih sama padahal gda masalah dri hp ku,negative
Muhammad Yusuf,kacau ini sistem match nya,negative
cheppy firmansyah,makin nggak jelas nih...dpt report sengaja melakukan feeding seharusnya bisa di liat dari nilai yg di dpt kan oleh pemain sapa yg melakukan feeding.,negative
Aneu Widia,"Saya sangat suka sama game ini , walaupun suka ada bug nya tetapi menurut saya game nya ini keren bgt, mohon maaf ya bug/nge lag tolong di perbaiki biar semua orang bisa main dengan senang hati, terima kasih sudah baca🥳🤭",negative
Ardi Firansyah,kekurangan nya sering update jika tidak di mainkan,negative
兰迪·努尔迪亚纳穆罕默德,"game terbaik dengan matchmaking terburuk, di kasih tim anomali mulu ,udah setahun kayak gini , saya tidak butuh saran, saya hanya butuh sedikit perubahan pada sistem matchmaking.",negative
Arthur Senpai,"game makin sini sinyal makin anjlok,masa gua sinyal hijau nge leg patah²,di sini bukan patah karna masalah hp gua, emang aja ni gamenya bermasalah 😹",negative
Maya Binuang,kalau kasih musuh di rank yg bener aja jangan tim bobrok musuhnya juga gk ngotak skill sama satu lagi rank khusus gold ya gold jangan di campur gini dong burikk dah gk rekomen nih game,negative
Jaisy Muhammad,draft pick mu itu loh nyatuin aku sama bot trs atau player nob. bikin stress aja. aku mantan GM s 6 jadi kecewa pngen main lagi,negative
Kent Tairas,"game ini bagus sampai papa ku dan adik ku download game ini, pokoknya game ini bagus deh aku kasih bintang 5",positive
Bagaskara Caesar,"pisahin PH ke server lain, isinya player troll & egois semua. tiap separty cari untung sendiri gapeduli tim. udh setahun gaada perubaan. nyoba hero di rank,maksa rebut lane, pake hero ga sesuai lane, afk, dll. dan konyolnya mereka yg ngetroll & egois malah dpt MVP sementara yg pontang panting deffend tower sana sini malah kena penalty kurang brengsek apa itu ha?",negative
Khen Khennooh,keren banget cok 🤯🤯,positive
Muhamad kargini Yanto,Keren!!,positive
messi sayang99,ini naik turunnya bisa dapat duit tolong kalau ndak paham main game ini tolong jangan hapus ini dua kali lipat ML pada game honor no oking dua kali lipat kisah juang,negative
sandhi primadana,game cacat!!!mencuri lane sekarang legal...,negative
Yt Pre,bagus bangettt,positive
Azril Darmawan,bagus banget,positive
Welly Djasika,nge frame parah sekarang kalo main di tambah sinyal jumping terus.,negative
ih san,gua pensi dari ml karena di kasih musuh bot mulu,negative
kuromi,gamenya kayanya asik soalnya baru donlowad langsung ku kasih ulasan semoga game nya hemat kuota dan ngasih tim sama musuh yg adil,positive
Maulana ADv,game tolol make hero bukan buat line ngak di anggap pelanggaan.. giliran ngreport malah stuck blank,negative
Xgarblast Rx,overall is good. but the camera is too close,positive
Taufik Hidayat,game aneh aku nulis pocong hunter malah ketemu game burik gini bahkan lebih burik dari ff,negative
Dika Kurniasih,"aku suka banget,game nya seru,asyik,Hero nya banyak aku suka",positive
Tommy Adi Pratama,masih sering nge lah dan fps nya naik tiba-tiba saat momen krusial pas war dan lain2 padahal jaringan bagus dan device mendukung,neutral
Ali Sofa,sangat bagus ya,positive
Zarna Wati,untuk ini gameku kasih bintang 5 karena mau hero atau skin gratis mulu coy ini mungkin bakal jadi game buat gue ngonten tapi nanti besar ya kalau masih ada meskipun ini game ngikutan MLBB tapi masih bagus yang ini lebih berkualitas dan kata²nya buat aku seneng kadang dapet serlok takparani sama bisa buat striker hero sendiri kelas banget jadi itu saja kata² gue untuk game ini jadi by²,neutral
Rian Febriansha,game nya boros data saya korban game ini {HONOR OF KING} yang cuma modal unduh data cuma satu hari habis baru beli data padahal data saya 26gb sumber daya game play Hero emblem semua nya Susa ga di permudah mode offline nya pun ga bisa di masukin di paksa update pas gw liat game sebelah mlbb update nya di tunda ketika offline langsung bisa di mainin loading unduh nya pun lama skill Hero nya juga ga tebel karna hp saya kentang jadi efek dikunci skill musuh ga keliatan nyesel gw unduh game ini,negative
Lands Vanz,"apalah ini ketemu tim gak setara sama musuh bahkan bisa dibilang lebih banyak kalah dari pada menang cara gameplay nya gimana main rank juga win and lost banyak lost/kalah, baru menang sekali kalah nya 4 kali menang 2 kali kalah 6 kali perasaan dimoba lain gak terlalu begini, jujur aja saya player main solo tolong hargai pemain solo",negative
Andita Chandra Kowara,game ini bodoh tidak mau akun ban permanent dan udah banyak jasa joki akun kalah feeder sengaja itu pura pura serang demi tim musuh menang dan dapatin top tup buat beli skin mahal. mending gua uninstall nanti bulan depan,negative
Muhammad ayup Permadani,"tolong buatin hok yang versi litenya di Indonesia pliss,mau main di hpku tapi kehalang ram 😭😭😭",neutral
Arik Andry,game terburuk yang pernah saya mainkan... sangat sangat menyesal saya donwload game ini.. serasa main sama komputer.. game apa ini.. mending game sebelah.. udah stun hero nya gak ngotak.. lama bener diem nya.. sampai habis nyawa baru bisa gerak.. anjuran saya kalo bisa main game sebelah aja.. game dragsistem ini..,negative
Kei Amakura,"aneh, orang lain yang minta tuker hero, malah gw yang kena report ambil lane orang",negative
Gamia 666,suka saya loh...,positive
Nugi feri Yantoo,game busuk.. sinyal bagus tapi gak bisa gerak,negative
Tria Anes,nge bug mlu kyak ML,negative
nazeera faizah,"damage turet kurang kurang kurang kurang sakit , yg di lane apalagi di base",neutral
abi hasabi,JANGAN DOWNLOAD GAME INI 1. BANYAK PEMAIN TOLOL TERUTAMA PHILIPNE 2. NGABISIN KUOTA 3. BUAT ANDA KESEL BISA LOSE 10X NANTI ALASAN SEUSAI GACHA RANDOM ALASAN AJA ADMINYA 4. KELUHAN ANDA DI CUEKIN KAYA NEGRI KONOHA. 5. KALO GA PERCAYA CEK SENDIRI KALO UDA DI TIER ATAS ANDA BISA BANTING HP,negative
Shan Gobeg06,secara penyeluruhan game ini sangat spektakuler tapi kalian tau sendirilah tenchent games itu kalo ngasih data itu pasti nguras penyimpanan banyak baget cuy tapiya dia juga ngasih grafis yang sangat memanjakan mata untuk kita semua. tanks untuk developer terutama untuk tenchen gua salut ama lo kalo buat game itu gak tau gagal. dan saran gua untuk game ini supaya ngehidupin lagi chess rush tolong developer. trimakasih itu saja,neutral
HYANG IMAN KINASIH GUSTI,"hanya saran saja di-update kedepan untuk lane sesuaikan dengan rank tertinggi dari lane tersebut sering kali ketemu tim dimana rank tertingginya di mid lane tapi dia dapat jungle lane sedangkan yang dapet mid, rank lane tertingginya itu support jadi tidak seimbang sama sekali dan malah berujung menjadi ajang coba coba hero saja",neutral
Uye Junior,okey pokoknya,positive
fandhy gaming,game rusak kalah mulu,negative
Kenzo,awalnya ingin mencoba maen game ini. awalnya oke banget ini game dimainkan normal2 aja. pas sudah sampai Gold 4 setiap masuk mode ranked selalu terputus jaringan. padahal maen di mode normal lancar. kok di mode ranked selalu terputus jaringan nya. tolong di perbaiki lagi. kalo masih seperti itu terus saya mau hapus aja game nya. mending maen game MOBA Laen,positive
NAURATUN NADHIFA,"game gajelas, masa pas main duo sama temen ketemu tim master sedangkan aku sama tmn aku udh gm trus musuhnya pada gm smua sampe ada yang mitik, mana timnya biasa ngetrol aku Ampe lose 6 kali gaada naik naiknya, minimal kalau kalah 2-3 kali di kasi musuh yang gampang, lah ini aku dari gm bintang 5 turun Ampe master 1 bintang 5, timnya juga biasa di kasih player new yang baru main",negative
Fang Yu,"match making terlalu buruk, terlalu sering bertemu player baru/Feeding bahkan jika Mabar berdua atau bertiga padahal rank diamond - master, laporan otomatis sangat buruk hanya berdasarkan nilai akhir bukan kinerja bahkan jika melakukan pelaporan kedua juga sering gagal dan hukuman tidak berat dan untuk gameplay skill delay dan tidak keluar entah bug atau disengaja tetapi membuat gameplay sangat kaku seperti game tahun 2018 hanya saja grafiknya bagus",negative
Plei thel,"ping buruk terus, ah sudah lah",negative
ilham Wolio,game nya seruh banget,positive
Erwanto El Erwan,"game nya bagus,grafiknya juga bagus.tapi mohon bug nya di hilangin terus heronya tidak ada animasinya tolong diperbaiki.sudah segitu pendapat saya. terima kasih",neutral
aegist,tolong untuk developer untuk bisa stabilkan router jaringan karena walaupun jaringan saya bagus tetapi pada saat maen kurang stabil dan untuk banned player yang memakai cheat karena ada pemain yang melebihi dari level 15 max sehingga merugikan pemain yang lain dan buat kecewa,negative
Sxtdam,saya kasih bintang 3 duku karena sering bug sinyal padahal bagus jaringan nya tolong di perbaiki biar enak main nya,negative
Tobil Seha22,gemnya mantap,positive
Roman Syah,"dulu sempat main game ini cuman berhenti dulu karna jaringanya ngeleg mulu, sekarang mencoba main lagi, kok masih suka ngeleg aja yah ? padahal saya pake nya wifi masih aja ada ngeleg nya, dan kalau udah ngeleg udah deh gak bisa main lagi dan harus keluar dulu, kalau bisa d perbaiki lagi yah masalah jaringanya soalnya game ini lumayan enak loh d mainin nya, terima kasih",negative
Umar Aziz,gacor kang,positive
Heri Serius,ini sangat bagus,positive
Iing Lopes,karena saya selalu kalah Mulu sampai turun rank saya kasih bintang 1 ( bodo amat),negative
IZ*ONE Minchu,"ngasih tim ke pacarku yg ngotak dong ,masak pacarku main dikasih tim bot sama gila terus ishhh",negative
Akun Mlbb2010,"game sudah sangat bagus, tapi sekadar saran dari player tercinta buat Tencent studios Usahain update penggunaan data jangan terlalu besar, banyak player yang mengeluhkan penyimpanan sangat banyak terkuras semenjak update tolong jangan terlalu banyak memakan penyimpanan Tencent, kasihan player yang pengen main gak bisa main karena terhalang oleh device🙏🏻🙏🏻",neutral
Higarull,"Udh mantap la.. performa mantap, kualitas skin or hero mantap, gak neko"" rata kiri hp kentang lancar brutal. Event gausah di tanya mantap abizz. 1 kritik buat dev nya, ntah knpa kalo mabar sama teman ping nya jadi anjlok naik turun dari 20 ke 70an sumpah itu ganggu bngt si pas posisi war, ya karna pas main solo aman"" aja jarang anjlok..",neutral
Murtiah Murty,bagus,positive
Kireina Khanza,DAPET SKIN BANYAKKKK,neutral
Fahrel Apriliansyaah,keren,positive
Haikal Hzrn,Izin Comeback min,neutral
Berkah Sukses,cukup menarik,neutral
Zaki-kun OC2,aku yang seorang solo player lelah dengan algoritma matchmaking game ini. sehabis winstreak terbitlah losestreak. kadang win-lose-win-lose. capek main semalaman cuma nambah 1 bintang.,negative
Jaran Goyang,tolong sistem report nya di ubah ajah kayak dulu kalo yang sekarang gak guna soal nya banyak player anomali yang main nya gak jelas pas kelar game di report gak bisa malah gak kena report sama sekali untuk ke sluruhan game bagus banget banyak event skin gratis udah itu ajah saran dari aku tolong sistem report nya di ubah ajah kayak dulu,negative
Agus Darmayasa,game nya bagus bahasa nya lumayan gaul udah menurut saya ini game moba terbaik yg pernah ada,positive
Deni Dulirwan,sangat seru dan menarik,positive
IVAN_93 Channel,lumayan seru ketimbang ML,positive
didi nugroho,game rusak player noob bisa sampe GM 🤦🤦 best Tencent😒😒,negative
Yudha Aja,walau gamenya bikin stress tapi saya suka.disitulah letak asiknya,neutral
Adedwi Tirani,ini gimana sih ngasih kode tapi kita kirim ke sosial di sensor,neutral
Tian Jago112,game nya tuh kayak anj karna game yg lain itu tidak ngelag tapi game ini ngelag banget loading yang lama banget bikin kesel sama emosi,negative
Kiyan Kino,gemnya haram,negative
Dimas Pradana,sinyal full main tp mesti nge lag,negative
Futri Futri,game buruk mending ml,negative
Luthfianah Sofyan,gila cuy keren nih game cuma kalo buat hp kentang ngeleg,positive
Lotus,pengen download lagi tapi memori ku gak cukup bikin nge lag,negative
Rahmat Ramadan,game seru gak kaya ml gamenya burik pay to win mending game ini daripada game buatan moonton mobile legends game burik jangan di donload ml guys,negative
Irgy Igoy,hahaha Game Copyan ml ge Deuh sgala di pjang di iklan wkwkw,neutral
NAO SAGALA,enggak suka sistem bintang nya buat apa proteksi kalau cuman 30 poin? sama aja tetep turun bintang nya kalau mau aman minimal harus S lebih suka sistem bintang yang lama,negative
Renzy Laurenza,game ini sangat enak,positive
Amay ML,aku kasih 4 dlu game sama Kya ML GK yang sering kluar sndri ML game parah udah buruk,negative
Sigit Pambudi,buat event kali ini cukup sulit apalagi buat jatuhin kartu penarikan sampai kelar event gak pernah dapet sama sekali mohon untuk kedepan nya dipermudah trimaksih,neutral
Nyemas Nova,aku suka sekali game ini skill nya mantap mantapnya bahkan aku udah MVP,positive
fathur rahman,nice,positive
Lia marya,update dong happy mod nya supaya bisa main honor of king di happy mod,positive
Virginia Siaman,1000/ 10,neutral
98_06_i Wayan Ruta Tenaya,grafik tolong di tingkat kan lagi,neutral
ADKAN FAIS FAWWA,sangat seru,positive
Izuku midoriya,tolong data penyimpanan nya rendahin,neutral
ridho hatorkisan,aku benci update seaon ini. aku sangat sering stuck di loding screen. dan tidak bisa masuk lagi ke dalam game. sampai harus aku reinstall game ini. benar2 merugikan,negative
dart evol,Sistem tololll. Dapat B malah mvp.konyol,negative
Rizky Wibowo,Perbaiki jaringan dan match making. Jangan cuma skin dan gacha melulu. Itu pun kalau memang peduli dengan player dan mau player tetap stay.,positive
muhammad farel,"tolong fix bagian fps, saya pake dimensity 8300 ultra biasa pake fps maks kenapa jadi lock 60 fps saja ???",neutral
Vina Wulandari,"game nya banyak bug,udah itu aja",negative
Qanita Azmi,gj... pas jadi tim merah kalah mlu tapi pas biru menang mulu... knp harus tim merah yang kalah Mulu..?,negative
Dea Nanda,Game yang terbaik di seluruh dunia,positive
Muhammad Nasir,barang nya bagus sekali,positive
ardhii maulana,"tolong lah buat management honor of Kings, masa kalo kalah nambah bintang , sedangkan kalo menang kadang ga nambah bintang nya, kesel saya tuh, jengkel.. tolong diperbaiki lah",negative
Okta Viano,ini kek mana sih masak setiap mau masuk ke pertandingan kalo pakek wifi selalu gak bisa bacanya tidak ada jaringan padahal wifi nya lancar itu terjadi biasanya di mode rnk tolong di perbaiki ya aku kasih bintang satu dulu,neutral
As Toni,game moba sampah,negative
Puji Alfaruq,Game keren gak kalah bagus sama game sebelah. Tolong bug y di hilangkan.. Cukup dan trjmakasih.,positive
M.Andhika.w,aku ganti ke 5 kalau happy coin ganti system,neutral
Sheylli Gabriel,"game ny sih udah bagus, tapi penyimpanan game ny tolong diturunin dikit donk karena hp saya kentang jadi kadang gak muat penyimpanan game nya, tolong di ringankan penyimpanan data game nya. pas saya mau hapus file download di dalam game HOK, kok penyimpanan nya gak nurun masih tetep 7,45GB?",neutral
Nana Nuna,gak bisa diganti nama nya,neutral
Yovita Agustina iin iin,ini game moba Ter-Baik hobi nya ngebahagiain player efek kualitas nya bagus skin mahal di kasih gratis tim dan musuh seimbang jago enggak beban engga gak kayak game sebelah tapi aku ga bisa top up karena duit ku kurang pokoknya makasih banget ya buat developer ini game moba terbest deh ku kasih bintang5,neutral
Mr.B Poseidon094,developer tidak memperhatikan masukkan player,neutral
Ulil Amri,keren,positive
Fiskal Nagan,game sudah oke tapi kok dikasih tim yang tidak logis dan musuh yang kuat tolong diperbaiki sistem nya,positive
Ros Kosanah,"Keren *GAK KAYAK MOBILE LEGEND....DI HOK EVENT BANYAK SKIN GRATIS JUGA BANYAK MANTEP LAH, BUAT KALIAN MENDING HAPUS AJA GAME KIKIR MOBILE LEGEND ITU COK* .....GW MAEN ML LS 15X, 12MVP LOSE CUMA 2X WIN🗿MENDING MAEN HOK DAH ASELI KATA GW MAH......Saran buat HOK tuntut aja tu moontod banyak plagiat nya cik aseli.",positive
Riki Prayoga,bagus,positive
Sutarno,ini kenapa ya animasi ya gak gerak di profil maupun Hero nya. cuman diem aja,neutral
afkar idlan,"menurutku gamenya udah bagus, tapi bisa di sesuaikan pergerakan karakternya di map soalnya agak patah patah gitu pergerakan di map nya, terimakasih",positive
Muhammad Alfan,bagus,positive
Almahbub Plaju,Game ini cukup bagus tapi masuk ke gamenya yang lama jadi saya harus menunggu,positive
Razor Kingdom,gamenya keren harus butuh strategi yang Mateng GK bisa asal nabrak playernya GK ada yang ngetroll Kya sebelah,positive
Jhon Rambo,aku suka,positive
Pandi Winata,Mantap seru,positive
157_Rizky Anugrah Syachputra,match making in game tidak jelas,positive
Arif Tubagus,"Bro, bagaimana caranya log-in pake nomor hape, soalnya akun saya udah level 54 udah ditautkan sama nomor hape, cara mengembalikan akunnya gimana, saya terkendala di hal tersebut?",neutral
Romlah Siti,ho iya kenapa burung di gold len ga sepaun spaun Uda di matiin udah ga sepaun lagi aku soalnya aku mau nyelesain tutorialnya malah burung vinik nya KA sepaun spaun kanapaya per baikin itu,neutral
Gita Kristina,"makin up makin sulit mainnya, mana dapat team yg baru belajar lagi...",neutral
Adi Rahardian,tidak ada tindak lanjut terhadap pemain yang melakukan trolling ketika permainan dimulai dan point rank tetap berkurang. jika sistem terus berjalan seperti ini saya yakin tidak banyak orang yang akan bertahan untuk memainkan game ini. Tanggapan yang tidak berguna,neutral
Madye,keren,positive
Aswan Saputra,mamtul,positive
Juari Ary,ok,positive
Diky Tirta,aku suka sekali,positive
Hafizh Alfaruqi Mufadhal,ok,positive
Bavot Luh,keren gamenya,positive
Aimhan Studio,very good,positive
Dadan Pitto Rio toruh,seru banget 👍🏻,positive
Kang Santuy,bagus bageut co seru,positive
